source,model,model_type,init_date,target_month,lead_months,nino34_anom,tropical_mean_anom,roni_anom,member_id,temporal_resolution,anomaly_base_period
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4169333333333334,0.44426666666666664,-0.027333333333333265,ens_000,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.84935,0.58645,0.2629,ens_000,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.13705,0.6051333333333333,0.5319166666666666,ens_000,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.5854666666666666,0.6406666666666667,0.9447999999999999,ens_000,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.9012499999999999,0.6416166666666667,1.2596333333333332,ens_000,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.327,0.6714333333333333,1.6555666666666666,ens_000,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4380333333333334,0.4173666666666666,0.020666666666666778,ens_001,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.00605,0.56555,0.4405000000000001,ens_001,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.34865,0.6295333333333333,0.7191166666666666,ens_001,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.6521666666666666,0.6980666666666667,0.9540999999999998,ens_001,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.9821499999999999,0.7615166666666667,1.2206333333333332,ens_001,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.217,0.7919333333333333,1.425066666666667,ens_001,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.41713333333333336,0.46346666666666664,-0.04633333333333328,ens_002,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.86545,0.59875,0.26670000000000005,ens_002,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.39805,0.7052333333333333,0.6928166666666667,ens_002,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.8819666666666666,0.7971666666666667,1.0848,ens_002,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.32545,0.8663166666666667,1.4591333333333334,ens_002,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.5541,0.9405333333333333,1.6135666666666668,ens_002,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4397333333333333,0.41456666666666664,0.02516666666666667,ens_003,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9195500000000001,0.50225,0.4173000000000001,ens_003,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.44915,0.6454333333333333,0.8037166666666666,ens_003,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.9050666666666667,0.7064666666666667,1.1985999999999999,ens_003,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.31815,0.7955166666666668,1.5226333333333333,ens_003,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.5358,0.8526333333333334,1.6831666666666667,ens_003,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.21783333333333332,0.4202666666666666,-0.2024333333333333,ens_004,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.68045,0.52945,0.15100000000000002,ens_004,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.11615,0.6353333333333333,0.48081666666666667,ens_004,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.4106666666666667,0.6354666666666666,0.7752000000000001,ens_004,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.78955,0.7441166666666668,1.0454333333333332,ens_004,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.0492,0.7925333333333333,1.2566666666666666,ens_004,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.41623333333333334,0.4349666666666666,-0.01873333333333327,ens_005,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.87225,0.51165,0.3605999999999999,ens_005,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1978499999999999,0.5913333333333333,0.6065166666666666,ens_005,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.6212666666666666,0.6443666666666666,0.9769,ens_005,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.12175,0.7065166666666667,1.4152333333333333,ens_005,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.6809,0.7918333333333333,1.8890666666666664,ens_005,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4177333333333333,0.4425666666666666,-0.02483333333333332,ens_006,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.79175,0.45325,0.33849999999999997,ens_006,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.06225,0.4976333333333333,0.5646166666666665,ens_006,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.2302666666666666,0.5514666666666667,0.6788,ens_006,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.65715,0.6301166666666668,1.0270333333333332,ens_006,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.2585,0.7361333333333333,1.5223666666666669,ens_006,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5187333333333334,0.4818666666666666,0.03686666666666677,ens_007,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9258500000000001,0.5347500000000001,0.3911,ens_007,monthly,1991-2020 (adjusted)
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.56995,0.6912333333333333,0.8787166666666667,ens_007,monthly,1991-2020 (adjusted)
