source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period
CFS,CFSv2,dynamical,2026-04-01,2026-05,1.087770700454712,ens_E3_001,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.2497296333312988,ens_E3_001,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.7573145627975464,ens_E3_001,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.5514695644378662,ens_E3_001,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,1.6839444637298584,ens_E3_001,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,1.990133285522461,ens_E3_001,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.2560813426971436,ens_E3_001,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.4226460456848145,ens_E3_001,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.162466049194336,ens_E3_001,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.8619009256362915,ens_E3_002,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,0.9967016577720642,ens_E3_002,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.484924077987671,ens_E3_002,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.9828587770462036,ens_E3_002,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.0151355266571045,ens_E3_002,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.5028340816497803,ens_E3_002,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.630561113357544,ens_E3_002,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.3890998363494873,ens_E3_002,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,1.830492615699768,ens_E3_002,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.9371626377105713,ens_E3_003,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.4911434650421143,ens_E3_003,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.939706802368164,ens_E3_003,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.1364707946777344,ens_E3_003,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.1299047470092773,ens_E3_003,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.5031888484954834,ens_E3_003,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.775465488433838,ens_E3_003,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.693772554397583,ens_E3_003,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.13179612159729,ens_E3_003,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.9809226989746094,ens_E3_004,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.4005142450332642,ens_E3_004,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,2.136810064315796,ens_E3_004,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.6329147815704346,ens_E3_004,4,monthly,1991-2020
