source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period,roni_anom,tropical_mean_anom
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.412889838218689,ens_E3_001,1,monthly,1991-2020,1.0594429969787598,0.3534468412399292
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.2789807319641113,ens_E3_001,2,monthly,1991-2020,1.7994478940963745,0.4795328378677368
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.943490743637085,ens_E3_001,3,monthly,1991-2020,2.447532892227173,0.4959578514099121
CFS,CFSv2,dynamical,2026-05-14,2026-09,3.2847347259521484,ens_E3_001,4,monthly,1991-2020,2.7797348499298096,0.5049998760223389
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.3800978660583496,ens_E3_001,5,monthly,1991-2020,2.866518259048462,0.5135796070098877
CFS,CFSv2,dynamical,2026-05-14,2026-11,3.5759963989257812,ens_E3_001,6,monthly,1991-2020,3.019569158554077,0.5564272403717041
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.3058958053588867,ens_E3_001,7,monthly,1991-2020,2.626908779144287,0.6789870262145996
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.8226118087768555,ens_E3_001,8,monthly,1991-2020,2.0957982540130615,0.726813554763794
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.2747254371643066,ens_E3_001,9,monthly,1991-2020,1.4236458539962769,0.8510795831680298
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.312865972518921,ens_E3_002,1,monthly,1991-2020,0.9745200276374817,0.3383459448814392
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.349216938018799,ens_E3_002,2,monthly,1991-2020,1.9764162302017212,0.37280070781707764
CFS,CFSv2,dynamical,2026-05-14,2026-08,3.046480655670166,ens_E3_002,3,monthly,1991-2020,2.6099958419799805,0.43648481369018555
CFS,CFSv2,dynamical,2026-05-14,2026-09,3.570148229598999,ens_E3_002,4,monthly,1991-2020,3.051278591156006,0.5188696384429932
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.7483084201812744,ens_E3_002,5,monthly,1991-2020,3.2833402156829834,0.464968204498291
CFS,CFSv2,dynamical,2026-05-14,2026-11,4.093042373657227,ens_E3_002,6,monthly,1991-2020,3.6225409507751465,0.4705014228820801
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.8025870323181152,ens_E3_002,7,monthly,1991-2020,3.2808706760406494,0.5217163562774658
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.8027477264404297,ens_E3_002,8,monthly,1991-2020,2.1472020149230957,0.655545711517334
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.908073663711548,ens_E3_002,9,monthly,1991-2020,2.3083338737487793,0.5997397899627686
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.328891634941101,ens_E3_003,1,monthly,1991-2020,0.9950987100601196,0.33379292488098145
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.2659199237823486,ens_E3_003,2,monthly,1991-2020,1.887915015220642,0.37800490856170654
CFS,CFSv2,dynamical,2026-05-14,2026-08,3.073737144470215,ens_E3_003,3,monthly,1991-2020,2.5983595848083496,0.47537755966186523
CFS,CFSv2,dynamical,2026-05-14,2026-09,3.078009605407715,ens_E3_003,4,monthly,1991-2020,2.6394238471984863,0.4385857582092285
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.430227518081665,ens_E3_003,5,monthly,1991-2020,2.912336826324463,0.5178906917572021
CFS,CFSv2,dynamical,2026-05-14,2026-11,3.9552972316741943,ens_E3_003,6,monthly,1991-2020,3.4675989151000977,0.4876983165740967
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.358607053756714,ens_E3_003,7,monthly,1991-2020,2.804460048675537,0.5541470050811768
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.5149385929107666,ens_E3_003,8,monthly,1991-2020,1.836545467376709,0.6783931255340576
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.178267478942871,ens_E3_003,9,monthly,1991-2020,1.5609450340270996,0.6173224449157715
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.3711395263671875,ens_E3_004,1,monthly,1991-2020,1.028774380683899,0.3423651456832886
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.5225584506988525,ens_E3_004,2,monthly,1991-2020,1.991650104522705,0.5309083461761475
CFS,CFSv2,dynamical,2026-05-14,2026-08,3.1191577911376953,ens_E3_004,3,monthly,1991-2020,2.564445734024048,0.5547120571136475
CFS,CFSv2,dynamical,2026-05-14,2026-09,3.195066452026367,ens_E3_004,4,monthly,1991-2020,2.556612968444824,0.638453483581543
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.626920461654663,ens_E3_004,5,monthly,1991-2020,2.889068365097046,0.7378520965576172
CFS,CFSv2,dynamical,2026-05-14,2026-11,3.808168888092041,ens_E3_004,6,monthly,1991-2020,3.116611957550049,0.6915569305419922
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.921064853668213,ens_E3_004,7,monthly,1991-2020,3.1066246032714844,0.8144402503967285
CFS,CFSv2,dynamical,2026-05-14,2027-01,3.2268803119659424,ens_E3_004,8,monthly,1991-2020,2.2556450366973877,0.9712352752685547
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.3982436656951904,ens_E3_004,9,monthly,1991-2020,1.3993266820907593,0.9989169836044312
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.3943696022033691,ens_E3_005,1,monthly,1991-2020,1.0097576379776,0.38461196422576904
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.160473108291626,ens_E3_005,2,monthly,1991-2020,1.6846575736999512,0.4758155345916748
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.8361618518829346,ens_E3_005,3,monthly,1991-2020,2.260507106781006,0.5756547451019287
