source,model,model_type,init_date,target_month,lead_months,nino34_anom,tropical_mean_anom,roni_anom,member_id,temporal_resolution,anomaly_base_period
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.0774,0.483,-0.4056,ens_001,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.2536,0.4722,-0.2186,ens_002,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.1871,0.4572,-0.2701,ens_003,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.2596,0.5017,-0.2421,ens_004,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.0895,0.4435,-0.3539,ens_005,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.1809,0.4698,-0.2889,ens_006,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.0973,0.4797,-0.3824,ens_007,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.1207,0.4724,-0.3517,ens_008,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.1854,0.4693,-0.2838,ens_009,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.1967,0.4998,-0.303,ens_010,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.2177,0.4487,-0.231,ens_011,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.0973,0.453,-0.3556,ens_012,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.0967,0.4303,-0.3335,ens_013,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.125,0.4463,-0.3213,ens_014,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.0556,0.4302,-0.3746,ens_015,monthly,1991-2020
CanSIPS,CanSIPS-CanESM5,dynamical,2026-03-31,2026-04,1,0.1183,0.4402,-0.3218,ens_016,monthly,1991-2020
