source,model,model_type,init_date,target_month,lead_months,nino34_anom,member_id,temporal_resolution,anomaly_base_period
IRI,AUS-ACCESS,dynamical,2026-04-01,2026-05,1,1.4,mean,seasonal_3mo,varies
IRI,AUS-ACCESS,dynamical,2026-04-01,2026-06,2,1.83,mean,seasonal_3mo,varies
IRI,AUS-ACCESS,dynamical,2026-04-01,2026-07,3,2.2,mean,seasonal_3mo,varies
IRI,AUS-ACCESS,dynamical,2026-04-01,2026-08,4,2.57,mean,seasonal_3mo,varies
IRI,AUS-RELATIVE,dynamical,2026-04-01,2026-05,1,1.0,mean,seasonal_3mo,varies
IRI,AUS-RELATIVE,dynamical,2026-04-01,2026-06,2,1.37,mean,seasonal_3mo,varies
IRI,AUS-RELATIVE,dynamical,2026-04-01,2026-07,3,1.67,mean,seasonal_3mo,varies
IRI,AUS-RELATIVE,dynamical,2026-04-01,2026-08,4,2.03,mean,seasonal_3mo,varies
IRI,BCC DIAP,unknown,2026-04-01,2026-05,1,0.4,mean,seasonal_3mo,varies
IRI,BCC DIAP,unknown,2026-04-01,2026-06,2,0.76,mean,seasonal_3mo,varies
IRI,BCC DIAP,unknown,2026-04-01,2026-07,3,1.05,mean,seasonal_3mo,varies
IRI,BCC DIAP,unknown,2026-04-01,2026-08,4,1.32,mean,seasonal_3mo,varies
IRI,BCC DIAP,unknown,2026-04-01,2026-09,5,1.55,mean,seasonal_3mo,varies
IRI,BCC DIAP,unknown,2026-04-01,2026-10,6,1.72,mean,seasonal_3mo,varies
IRI,BCC DIAP,unknown,2026-04-01,2026-11,7,1.89,mean,seasonal_3mo,varies
IRI,BCC DIAP,unknown,2026-04-01,2026-12,8,1.98,mean,seasonal_3mo,varies
IRI,BCC DIAP,unknown,2026-04-01,2027-01,9,1.91,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-04-01,2026-05,1,0.86,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-04-01,2026-06,2,1.18,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-04-01,2026-07,3,1.35,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-04-01,2026-08,4,1.38,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-04-01,2026-09,5,1.38,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-04-01,2026-10,6,1.44,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-04-01,2026-11,7,1.53,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-04-01,2026-12,8,1.6,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-04-01,2027-01,9,1.6,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-04-01,2026-05,1,1.28,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-04-01,2026-06,2,1.72,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-04-01,2026-07,3,2.11,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-04-01,2026-08,4,2.4,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-04-01,2026-09,5,2.53,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-04-01,2026-10,6,2.6,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-04-01,2026-11,7,2.57,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-04-01,2026-12,8,2.45,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-04-01,2027-01,9,2.26,mean,seasonal_3mo,varies
IRI,CS-IRI-MM,dynamical,2026-04-01,2026-05,1,0.56,mean,seasonal_3mo,varies
IRI,CS-IRI-MM,dynamical,2026-04-01,2026-06,2,0.83,mean,seasonal_3mo,varies
IRI,CS-IRI-MM,dynamical,2026-04-01,2026-07,3,1.1,mean,seasonal_3mo,varies
IRI,CS-IRI-MM,dynamical,2026-04-01,2026-08,4,1.4,mean,seasonal_3mo,varies
IRI,CS-IRI-MM,dynamical,2026-04-01,2026-09,5,1.75,mean,seasonal_3mo,varies
IRI,CS-IRI-MM,dynamical,2026-04-01,2026-10,6,2.12,mean,seasonal_3mo,varies
IRI,GFDL SPEAR,unknown,2026-04-01,2026-05,1,0.79,mean,seasonal_3mo,varies
IRI,GFDL SPEAR,unknown,2026-04-01,2026-06,2,1.21,mean,seasonal_3mo,varies
IRI,GFDL SPEAR,unknown,2026-04-01,2026-07,3,1.58,mean,seasonal_3mo,varies
IRI,GFDL SPEAR,unknown,2026-04-01,2026-08,4,1.86,mean,seasonal_3mo,varies
IRI,GFDL SPEAR,unknown,2026-04-01,2026-09,5,2.07,mean,seasonal_3mo,varies
IRI,GFDL SPEAR,unknown,2026-04-01,2026-10,6,2.35,mean,seasonal_3mo,varies
IRI,GFDL SPEAR,unknown,2026-04-01,2026-11,7,2.68,mean,seasonal_3mo,varies
IRI,GFDL SPEAR,unknown,2026-04-01,2026-12,8,2.92,mean,seasonal_3mo,varies
IRI,GFDL SPEAR,unknown,2026-04-01,2027-01,9,2.93,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-04-01,2026-05,1,0.3,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-04-01,2026-06,2,0.44,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-04-01,2026-07,3,0.67,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-04-01,2026-08,4,0.8,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-04-01,2026-09,5,0.86,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-04-01,2026-10,6,0.88,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-04-01,2026-11,7,0.9,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-04-01,2026-12,8,0.94,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-04-01,2027-01,9,0.95,mean,seasonal_3mo,varies
IRI,JMA,dynamical,2026-04-01,2026-05,1,0.53,mean,seasonal_3mo,varies
IRI,JMA,dynamical,2026-04-01,2026-06,2,0.82,mean,seasonal_3mo,varies
IRI,JMA,dynamical,2026-04-01,2026-07,3,1.1,mean,seasonal_3mo,varies
IRI,JMA,dynamical,2026-04-01,2026-08,4,1.36,mean,seasonal_3mo,varies
IRI,JMA,dynamical,2026-04-01,2026-09,5,1.66,mean,seasonal_3mo,varies
IRI,KMA,dynamical,2026-04-01,2026-05,1,1.12,mean,seasonal_3mo,varies
IRI,KMA,dynamical,2026-04-01,2026-06,2,1.58,mean,seasonal_3mo,varies
IRI,KMA,dynamical,2026-04-01,2026-07,3,2.01,mean,seasonal_3mo,varies
IRI,KMA,dynamical,2026-04-01,2026-08,4,2.37,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-04-01,2026-05,1,0.3,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-04-01,2026-06,2,0.41,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-04-01,2026-07,3,0.42,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-04-01,2026-08,4,0.41,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-04-01,2026-09,5,0.52,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-04-01,2026-10,6,0.73,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-04-01,2026-11,7,0.91,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-04-01,2026-12,8,1.03,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-04-01,2027-01,9,1.0,mean,seasonal_3mo,varies
IRI,MetFRANCE,dynamical,2026-04-01,2026-05,1,0.61,mean,seasonal_3mo,varies
IRI,MetFRANCE,dynamical,2026-04-01,2026-06,2,0.96,mean,seasonal_3mo,varies
IRI,MetFRANCE,dynamical,2026-04-01,2026-07,3,1.27,mean,seasonal_3mo,varies
IRI,MetFRANCE,dynamical,2026-04-01,2026-08,4,1.55,mean,seasonal_3mo,varies
IRI,MetFRANCE,dynamical,2026-04-01,2026-09,5,1.79,mean,seasonal_3mo,varies
IRI,NASA GMAO,dynamical,2026-04-01,2026-05,1,0.92,mean,seasonal_3mo,varies
IRI,NASA GMAO,dynamical,2026-04-01,2026-06,2,1.49,mean,seasonal_3mo,varies
IRI,NASA GMAO,dynamical,2026-04-01,2026-07,3,2.13,mean,seasonal_3mo,varies
IRI,NASA GMAO,dynamical,2026-04-01,2026-08,4,2.75,mean,seasonal_3mo,varies
IRI,NASA GMAO,dynamical,2026-04-01,2026-09,5,3.23,mean,seasonal_3mo,varies
IRI,NASA GMAO,dynamical,2026-04-01,2026-10,6,3.54,mean,seasonal_3mo,varies
