source,model,model_type,init_date,target_month,lead_months,nino34_anom,tropical_mean_anom,roni_anom,member_id,temporal_resolution,anomaly_base_period
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9851,0.6468,0.3383,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.4149,0.8089,0.6059,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.68,0.7847,0.8953,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,1.9813,0.8851,1.0962,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.2968,0.988,1.3088,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.6459,1.1333,1.5126,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,2.9876,1.0676,1.92,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.8959,1.1144,1.7815,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.2186,1.0988,1.1198,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9589,0.6042,0.3547,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.1468,0.6888,0.458,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.7733,0.8165,0.9569,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.2866,0.8188,1.4678,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.4659,0.884,1.5819,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.6062,0.9519,1.6542,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,2.5837,0.9319,1.6518,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.4237,0.7243,1.6994,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,1.9804,0.8655,1.1149,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.8651,0.5898,0.2753,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.208,0.7202,0.4878,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.5756,0.7892,0.7864,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.0361,0.8409,1.1952,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.0979,0.7824,1.3154,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.658,0.7959,1.8621,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,2.8117,0.8817,1.93,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.5366,0.9155,1.6211,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.6209,1.0015,1.6194,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9764,0.6452,0.3313,ens_004,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.3948,0.7815,0.6133,ens_004,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.7903,0.7738,1.0165,ens_004,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,1.989,0.8424,1.1467,ens_004,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.225,0.8415,1.3835,ens_004,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.5296,0.9396,1.59,ens_004,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,2.887,0.9908,1.8962,ens_004,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.6894,1.0351,1.6542,ens_004,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.0328,1.0853,0.9475,ens_004,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,1.0771,0.6137,0.4634,ens_005,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.6437,0.8325,0.8112,ens_005,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,2.2022,0.827,1.3752,ens_005,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.296,0.8775,1.4185,ens_005,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.7656,0.9181,1.8475,ens_005,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,3.3013,1.0401,2.2611,ens_005,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.4734,1.1595,2.314,ens_005,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.9196,1.0995,1.8201,ens_005,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.2714,1.1748,1.0966,ens_005,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9924,0.6753,0.3171,ens_006,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.2842,0.8205,0.4637,ens_006,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.7317,0.9338,0.798,ens_006,monthly,model-specific
