source,model,model_type,init_date,target_month,lead_months,nino34_anom,tropical_mean_anom,roni_anom,member_id,temporal_resolution,anomaly_base_period
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.994,,,N1K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.5324,,,N1K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.6111,,,N2K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.1907,,,N2K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.7897,,,N3K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.3751,,,N3K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.6707,,,N1K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.1949,,,N1K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.6973,,,N2K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.6623,,,N2K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.1595,,,N3K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.3297,,,N3K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.1355,,,N1K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.3324,,,N1K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.2506,,,N2K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,2.0883,,,N2K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-08,1,1.9632,,,N3K1hiV,monthly,1983-2015
