# ENSO forecast ensemble members — ONI (Nino 3.4)
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-09-11
# One row per ensemble member per target month (deduplicated multi-model plume; months with fewer than 4 models dropped).
# Dashboard statistics weight each model equally regardless of ensemble size. CFSv2 member ens_E3_041 is the control run and is excluded from the dashboard's probability statistics.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
target_month,model,member_id,init_date,anomaly_c
2026-09,BOM,ens_000,2026-09-01,3.4557
2026-09,BOM,ens_001,2026-09-01,3.5021
2026-09,BOM,ens_002,2026-09-01,3.4484
2026-09,BOM,ens_003,2026-09-01,3.3904
2026-09,BOM,ens_004,2026-09-01,3.4999
2026-09,BOM,ens_005,2026-09-01,3.3992
2026-09,BOM,ens_006,2026-09-01,3.4630
2026-09,BOM,ens_007,2026-09-01,3.4102
2026-09,BOM,ens_008,2026-09-01,3.4279
2026-09,BOM,ens_009,2026-09-01,3.4690
2026-09,BOM,ens_010,2026-09-01,3.4986
2026-09,BOM,ens_011,2026-09-01,3.4845
2026-09,BOM,ens_012,2026-09-01,3.4193
2026-09,BOM,ens_013,2026-09-01,3.4367
2026-09,BOM,ens_014,2026-09-01,3.4972
2026-09,BOM,ens_015,2026-09-01,3.4274
2026-09,BOM,ens_016,2026-09-01,3.4574
2026-09,BOM,ens_017,2026-09-01,3.4434
2026-09,BOM,ens_018,2026-09-01,3.4309
2026-09,BOM,ens_019,2026-09-01,3.4553
2026-09,BOM,ens_020,2026-09-01,3.4714
2026-09,BOM,ens_021,2026-09-01,3.4768
2026-09,BOM,ens_022,2026-09-01,3.5549
2026-09,BOM,ens_023,2026-09-01,3.4164
2026-09,BOM,ens_024,2026-09-01,3.4043
2026-09,BOM,ens_025,2026-09-01,3.4242
2026-09,BOM,ens_026,2026-09-01,3.4004
2026-09,BOM,ens_027,2026-09-01,3.3999
2026-09,BOM,ens_028,2026-09-01,3.4199
2026-09,BOM,ens_029,2026-09-01,3.4132
2026-09,BOM,ens_030,2026-09-01,3.4158
2026-09,BOM,ens_031,2026-09-01,3.4412
2026-09,BOM,ens_032,2026-09-01,3.4648
2026-09,BOM,ens_033,2026-09-01,3.4641
2026-09,BOM,ens_034,2026-09-01,3.4647
2026-09,BOM,ens_035,2026-09-01,3.5251
2026-09,BOM,ens_036,2026-09-01,3.5191
2026-09,BOM,ens_037,2026-09-01,3.4313
2026-09,BOM,ens_038,2026-09-01,3.3683
2026-09,BOM,ens_039,2026-09-01,3.4077
2026-09,BOM,ens_040,2026-09-01,3.5324
2026-09,BOM,ens_041,2026-09-01,3.3947
2026-09,BOM,ens_042,2026-09-01,3.3929
2026-09,BOM,ens_043,2026-09-01,3.3455
2026-09,BOM,ens_044,2026-09-01,3.4186
2026-09,BOM,ens_045,2026-09-01,3.4301
2026-09,BOM,ens_046,2026-09-01,3.3903
2026-09,BOM,ens_047,2026-09-01,3.4256
2026-09,BOM,ens_048,2026-09-01,3.5707
2026-09,BOM,ens_049,2026-09-01,3.4174
2026-09,BOM,ens_050,2026-09-01,3.4827
2026-09,BOM,ens_051,2026-09-01,3.4418
2026-09,BOM,ens_052,2026-09-01,3.4470
2026-09,BOM,ens_053,2026-09-01,3.5106
2026-09,BOM,ens_054,2026-09-01,3.3489
2026-09,BOM,ens_055,2026-09-01,3.4318
2026-09,BOM,ens_056,2026-09-01,3.4728
2026-09,BOM,ens_057,2026-09-01,3.4520
2026-09,BOM,ens_058,2026-09-01,3.3226
2026-09,BOM,ens_059,2026-09-01,3.4635
2026-09,BOM,ens_060,2026-09-01,3.4830
2026-09,BOM,ens_061,2026-09-01,3.4897
2026-09,BOM,ens_062,2026-09-01,3.3879
2026-09,BOM,ens_063,2026-09-01,3.4768
2026-09,BOM,ens_064,2026-09-01,3.4371
2026-09,BOM,ens_065,2026-09-01,3.4938
2026-09,BOM,ens_066,2026-09-01,3.4023
2026-09,BOM,ens_067,2026-09-01,3.3407
2026-09,BOM,ens_068,2026-09-01,3.4672
2026-09,BOM,ens_069,2026-09-01,3.4294
2026-09,BOM,ens_070,2026-09-01,3.4281
2026-09,BOM,ens_071,2026-09-01,3.4952
2026-09,BOM,ens_072,2026-09-01,3.3667
2026-09,BOM,ens_073,2026-09-01,3.3536
2026-09,BOM,ens_074,2026-09-01,3.3203
2026-09,BOM,ens_075,2026-09-01,3.3984
2026-09,BOM,ens_076,2026-09-01,3.4130
2026-09,BOM,ens_077,2026-09-01,3.3325
2026-09,BOM,ens_078,2026-09-01,3.3222
2026-09,BOM,ens_079,2026-09-01,3.3235
2026-09,BOM,ens_080,2026-09-01,3.2349
2026-09,BOM,ens_081,2026-09-01,3.3477
2026-09,BOM,ens_082,2026-09-01,3.3654
2026-09,BOM,ens_083,2026-09-01,3.3935
2026-09,BOM,ens_084,2026-09-01,3.3640
2026-09,BOM,ens_085,2026-09-01,3.2967
2026-09,BOM,ens_086,2026-09-01,3.2915
