# ENSO forecast ensemble members — RONI (relative Nino 3.4)
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-09-03
# One row per ensemble member per target month (deduplicated multi-model plume; months with fewer than 4 models dropped).
# Dashboard statistics weight each model equally regardless of ensemble size. CFSv2 member ens_E3_041 is the control run and is excluded from the dashboard's probability statistics.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
target_month,model,member_id,init_date,anomaly_c
2026-08,BOM,ens_000,2026-08-01,2.2979
2026-08,BOM,ens_001,2026-08-01,2.3615
2026-08,BOM,ens_002,2026-08-01,2.3540
2026-08,BOM,ens_003,2026-08-01,2.2307
2026-08,BOM,ens_004,2026-08-01,2.3095
2026-08,BOM,ens_005,2026-08-01,2.2317
2026-08,BOM,ens_006,2026-08-01,2.3601
2026-08,BOM,ens_007,2026-08-01,2.2503
2026-08,BOM,ens_008,2026-08-01,2.2415
2026-08,BOM,ens_009,2026-08-01,2.2445
2026-08,BOM,ens_010,2026-08-01,2.2406
2026-08,BOM,ens_011,2026-08-01,2.2496
2026-08,BOM,ens_012,2026-08-01,2.3291
2026-08,BOM,ens_013,2026-08-01,2.2853
2026-08,BOM,ens_014,2026-08-01,2.2187
2026-08,BOM,ens_015,2026-08-01,2.3273
2026-08,BOM,ens_016,2026-08-01,2.3018
2026-08,BOM,ens_017,2026-08-01,2.3442
2026-08,BOM,ens_018,2026-08-01,2.2414
2026-08,BOM,ens_019,2026-08-01,2.3764
2026-08,BOM,ens_020,2026-08-01,2.2522
2026-08,BOM,ens_021,2026-08-01,2.3111
2026-08,BOM,ens_022,2026-08-01,2.2912
2026-08,BOM,ens_023,2026-08-01,2.2308
2026-08,BOM,ens_024,2026-08-01,2.3377
2026-08,BOM,ens_025,2026-08-01,2.2142
2026-08,BOM,ens_026,2026-08-01,2.2068
2026-08,BOM,ens_027,2026-08-01,2.3031
2026-08,BOM,ens_028,2026-08-01,2.2129
2026-08,BOM,ens_029,2026-08-01,2.2154
2026-08,BOM,ens_030,2026-08-01,2.2514
2026-08,BOM,ens_031,2026-08-01,2.2798
2026-08,BOM,ens_032,2026-08-01,2.2928
2026-08,BOM,ens_033,2026-08-01,2.3341
2026-08,BOM,ens_034,2026-08-01,2.3217
2026-08,BOM,ens_035,2026-08-01,2.2542
2026-08,BOM,ens_036,2026-08-01,2.2151
2026-08,BOM,ens_037,2026-08-01,2.2924
2026-08,BOM,ens_038,2026-08-01,2.3051
2026-08,BOM,ens_039,2026-08-01,2.2431
2026-08,BOM,ens_040,2026-08-01,2.3206
2026-08,BOM,ens_041,2026-08-01,2.2263
2026-08,BOM,ens_042,2026-08-01,2.2584
2026-08,BOM,ens_043,2026-08-01,2.3155
2026-08,BOM,ens_044,2026-08-01,2.3257
2026-08,BOM,ens_045,2026-08-01,2.2440
2026-08,BOM,ens_046,2026-08-01,2.3223
2026-08,BOM,ens_047,2026-08-01,2.3087
2026-08,BOM,ens_048,2026-08-01,2.2491
2026-08,BOM,ens_049,2026-08-01,2.2953
2026-08,BOM,ens_050,2026-08-01,2.2742
2026-08,BOM,ens_051,2026-08-01,2.3059
2026-08,BOM,ens_052,2026-08-01,2.2609
2026-08,BOM,ens_053,2026-08-01,2.3804
2026-08,BOM,ens_054,2026-08-01,2.2307
2026-08,BOM,ens_055,2026-08-01,2.2806
2026-08,BOM,ens_056,2026-08-01,2.3303
2026-08,BOM,ens_057,2026-08-01,2.3027
2026-08,BOM,ens_058,2026-08-01,2.4090
2026-08,BOM,ens_059,2026-08-01,2.3076
