# Forecast peak intensity — ONI (Nino 3.4): each ensemble member's Jul-Dec 2026 peak
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-08-28
# peak_c: the member's maximum monthly forecast over Jul-Dec 2026; peak_month: when it occurs. Members must cover both Nov and Dec to be included.
# Dashboard statistics weight every model equally regardless of ensemble size.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
model,member_id,peak_c,peak_month
BOM,ens_000,3.7626,2026-12
BOM,ens_001,3.9864,2026-11
BOM,ens_002,4.0366,2026-12
BOM,ens_003,3.7523,2026-11
BOM,ens_004,3.6340,2026-09
BOM,ens_005,3.9498,2026-11
BOM,ens_006,3.9449,2026-11
BOM,ens_007,3.5577,2026-11
BOM,ens_008,3.9106,2026-12
BOM,ens_009,3.8862,2026-11
BOM,ens_010,4.1362,2026-10
BOM,ens_011,3.8027,2026-11
BOM,ens_012,4.1645,2026-11
BOM,ens_013,3.6711,2026-11
BOM,ens_014,4.0185,2026-11
BOM,ens_015,3.9671,2026-10
BOM,ens_016,3.7827,2026-12
BOM,ens_017,4.2148,2026-12
BOM,ens_018,4.1478,2026-11
BOM,ens_019,4.2807,2026-11
BOM,ens_020,3.7491,2026-12
BOM,ens_021,3.7419,2026-11
BOM,ens_022,3.8727,2026-12
BOM,ens_023,3.7215,2026-12
BOM,ens_024,4.0840,2026-11
BOM,ens_025,3.8547,2026-11
BOM,ens_026,3.6472,2026-11
BOM,ens_027,4.2011,2026-11
BOM,ens_028,3.9807,2026-11
BOM,ens_029,4.0275,2026-12
BOM,ens_030,4.2223,2026-11
BOM,ens_031,3.7678,2026-10
BOM,ens_032,4.1506,2026-11
BOM,ens_033,3.6747,2026-11
BOM,ens_034,4.0213,2026-11
BOM,ens_035,4.0934,2026-11
BOM,ens_036,3.7306,2026-12
BOM,ens_037,3.8385,2026-11
BOM,ens_038,4.0845,2026-11
BOM,ens_039,3.7551,2026-11
BOM,ens_040,4.0088,2026-11
BOM,ens_041,4.1767,2026-11
BOM,ens_042,3.9268,2026-11
BOM,ens_043,3.9036,2026-11
BOM,ens_044,4.1207,2026-11
BOM,ens_045,4.0104,2026-11
BOM,ens_046,3.8343,2026-11
BOM,ens_047,3.9823,2026-11
BOM,ens_048,3.8963,2026-11
BOM,ens_049,4.4257,2026-11
BOM,ens_050,3.8197,2026-11
BOM,ens_051,3.8652,2026-11
BOM,ens_052,3.8577,2026-11
BOM,ens_053,3.7737,2026-11
BOM,ens_054,3.9012,2026-11
BOM,ens_055,3.8965,2026-11
BOM,ens_056,4.0090,2026-12
BOM,ens_057,4.0786,2026-11
BOM,ens_058,4.1468,2026-11
BOM,ens_059,4.1073,2026-11
BOM,ens_060,3.8503,2026-11
BOM,ens_061,3.8395,2026-12
BOM,ens_062,4.0127,2026-11
BOM,ens_063,4.0374,2026-11
BOM,ens_064,4.1247,2026-11
BOM,ens_065,4.0613,2026-11
BOM,ens_066,3.9638,2026-11
BOM,ens_067,4.0601,2026-11
BOM,ens_068,3.8951,2026-12
BOM,ens_069,3.8137,2026-11
BOM,ens_070,4.0019,2026-11
BOM,ens_071,3.9811,2026-11
BOM,ens_072,4.0816,2026-11
BOM,ens_073,3.7974,2026-12
BOM,ens_074,4.2430,2026-11
BOM,ens_075,3.9094,2026-11
BOM,ens_076,4.1811,2026-11
BOM,ens_077,3.7485,2026-12
BOM,ens_078,4.1957,2026-11
BOM,ens_079,4.2511,2026-11
BOM,ens_080,3.9634,2026-11
BOM,ens_081,3.9009,2026-12
BOM,ens_082,3.8654,2026-11
BOM,ens_083,4.1760,2026-10
BOM,ens_084,4.0472,2026-10
BOM,ens_085,3.8753,2026-10
BOM,ens_086,4.3875,2026-11
BOM,ens_087,3.7822,2026-11
BOM,ens_088,4.1547,2026-11
BOM,ens_089,4.0454,2026-11
BOM,ens_090,3.3526,2026-09
BOM,ens_091,3.9023,2026-11
BOM,ens_092,4.2693,2026-11
BOM,ens_093,3.9882,2026-11
BOM,ens_094,4.0190,2026-11
BOM,ens_095,3.9738,2026-11
BOM,ens_096,3.8555,2026-11
BOM,ens_097,3.8782,2026-11
BOM,ens_098,3.8545,2026-11
BOM,ens_099,4.0059,2026-12
BOM,ens_100,3.9407,2026-12
BOM,ens_101,3.9717,2026-11
BOM,ens_102,4.2157,2026-11
BOM,ens_103,3.7009,2026-11
BOM,ens_104,4.1713,2026-11
BOM,ens_105,3.8002,2026-10
BOM,ens_106,4.2209,2026-11
BOM,ens_107,4.0942,2026-11
BOM,ens_108,4.0084,2026-11
BOM,ens_109,3.9160,2026-11
BOM,ens_110,4.0674,2026-11
BOM,ens_111,3.7864,2026-12
BOM,ens_112,4.0401,2026-11
BOM,ens_113,3.9475,2026-12
BOM,ens_114,3.7904,2026-10
BOM,ens_115,4.2048,2026-11
BOM,ens_116,3.9697,2026-11
BOM,ens_117,3.6703,2026-11
BOM,ens_118,3.6572,2026-11
BOM,ens_119,4.0678,2026-11
BOM,ens_120,4.2756,2026-11
CFSv2,ens_E3_001,3.9469,2026-11
CFSv2,ens_E3_002,4.3173,2026-11
CFSv2,ens_E3_003,4.1197,2026-11
CFSv2,ens_E3_004,4.1469,2026-11
CFSv2,ens_E3_005,4.0463,2026-11
CFSv2,ens_E3_006,3.9764,2026-11
CFSv2,ens_E3_007,4.3170,2026-11
CFSv2,ens_E3_008,4.0923,2026-11
CFSv2,ens_E3_009,4.1914,2026-11
CFSv2,ens_E3_010,3.8663,2026-11
CFSv2,ens_E3_011,4.0532,2026-11
CFSv2,ens_E3_012,4.2851,2026-11
CFSv2,ens_E3_013,3.9624,2026-12
CFSv2,ens_E3_014,4.0451,2026-11
CFSv2,ens_E3_015,4.0282,2026-11
CFSv2,ens_E3_016,4.1822,2026-11
CFSv2,ens_E3_017,4.2540,2026-11
CFSv2,ens_E3_018,4.0577,2026-11
CFSv2,ens_E3_019,3.9317,2026-11
CFSv2,ens_E3_020,4.3155,2026-11
CFSv2,ens_E3_021,4.0404,2026-11
CFSv2,ens_E3_022,4.3551,2026-11
CFSv2,ens_E3_023,4.3432,2026-11
CFSv2,ens_E3_024,4.2346,2026-11
CFSv2,ens_E3_025,4.1194,2026-11
CFSv2,ens_E3_026,4.0160,2026-11
CFSv2,ens_E3_027,4.3341,2026-11
CFSv2,ens_E3_028,4.0129,2026-11
CFSv2,ens_E3_029,3.9565,2026-10
CFSv2,ens_E3_030,3.8289,2026-11
CFSv2,ens_E3_031,4.0421,2026-11
CFSv2,ens_E3_032,4.1661,2026-11
CFSv2,ens_E3_033,4.0297,2026-11
CFSv2,ens_E3_034,3.9975,2026-11
CFSv2,ens_E3_035,4.1156,2026-10
CFSv2,ens_E3_036,3.7060,2026-11
CFSv2,ens_E3_037,4.4247,2026-11
CFSv2,ens_E3_038,3.7976,2026-11
CFSv2,ens_E3_039,4.2704,2026-11
CFSv2,ens_E3_040,3.8540,2026-11
CMCC,ens_000,4.8058,2026-12
CMCC,ens_001,4.9871,2026-12
CMCC,ens_002,5.1312,2026-12
CMCC,ens_003,4.4259,2026-12
CMCC,ens_004,4.7357,2026-12
CMCC,ens_005,5.2682,2026-12
CMCC,ens_006,4.8675,2026-12
CMCC,ens_007,4.9437,2026-12
CMCC,ens_008,4.9528,2026-12
CMCC,ens_009,4.5750,2026-12
CMCC,ens_010,4.3231,2026-12
CMCC,ens_011,4.9107,2026-12
CMCC,ens_012,4.5266,2026-12
CMCC,ens_013,5.1140,2026-12
CMCC,ens_014,5.1995,2026-12
CMCC,ens_015,5.4023,2026-12
CMCC,ens_016,4.8850,2026-12
CMCC,ens_017,4.7788,2026-12
CMCC,ens_018,4.6871,2026-12
CMCC,ens_019,5.2376,2026-12
CMCC,ens_020,4.7710,2026-12
CMCC,ens_021,4.6548,2026-12
CMCC,ens_022,5.2545,2026-12
CMCC,ens_023,4.8747,2026-12
CMCC,ens_024,4.4339,2026-12
CMCC,ens_025,5.0082,2026-12
CMCC,ens_026,5.1477,2026-12
CMCC,ens_027,4.4875,2026-12
CMCC,ens_028,4.7444,2026-12
CMCC,ens_029,5.2516,2026-12
CMCC,ens_030,4.6867,2026-12
CMCC,ens_031,5.0745,2026-12
CMCC,ens_032,4.9219,2026-12
CMCC,ens_033,5.0240,2026-12
CMCC,ens_034,4.7791,2026-12
CMCC,ens_035,4.8042,2026-12
CMCC,ens_036,4.6417,2026-12
CMCC,ens_037,5.2062,2026-12
CMCC,ens_038,5.4994,2026-12
CMCC,ens_039,5.5547,2026-12
CMCC,ens_040,5.1389,2026-12
CMCC,ens_041,4.8461,2026-12
CMCC,ens_042,4.5407,2026-12
CMCC,ens_043,4.9324,2026-12
CMCC,ens_044,5.2312,2026-12
CMCC,ens_045,4.6448,2026-12
CMCC,ens_046,5.3751,2026-12
CMCC,ens_047,4.7898,2026-12
CMCC,ens_048,5.2092,2026-12
CMCC,ens_049,5.1021,2026-12
CanSIPS-CanESM5,ens_001,3.8300,2026-11
CanSIPS-CanESM5,ens_002,3.3331,2026-11
CanSIPS-CanESM5,ens_003,3.5855,2026-12
CanSIPS-CanESM5,ens_004,3.9414,2026-12
CanSIPS-CanESM5,ens_005,3.8278,2026-11
