# Combined ENSO forecast plume — ONI (Nino 3.4)
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-08-10
# p05/p25/p75/p95: model-weighted percentiles across all ensemble members (each model weighted equally regardless of ensemble size); months with fewer than 4 models are dropped.
# mean_<model>: that model's ensemble-mean forecast; multimodel_median_c: the model-weighted median (forecast only, no observed substitution); observed_c: observed monthly index.
# Member-level values are in enso_members_oni.csv.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
target_month,p05,p25,p75,p95,multimodel_median_c,mean_BOM,mean_CFSv2,mean_CMCC,mean_CanSIPS-CanESM5,mean_CanSIPS-GEM-NEMO,mean_DWD,mean_ECMWF,mean_JMA,mean_Meteo-France,mean_NASA-GEOS-S2S-2,mean_NCAR-CCSM4,mean_NCAR-CESM1,mean_SINTEX-F,mean_UKMO,observed_c
2025-12,,,,,,,,,,,,,,,,,,,,-0.6100
2026-01,,,,,,,,,,,,,,,,,,,,-0.5400
2026-02,,,,,,,,,,,,,,,,,,,,-0.2000
2026-03,,,,,,,,,,,,,,,,,,,,0.0300
2026-04,,,,,,,,,,,,,,,,,,,,0.4700
2026-05,,,,,,,,,,,,,,,,,,,,0.9400
2026-06,,,,,,,,,,,,,,,,,,,,1.5500
2026-07,1.9085,1.9987,2.3323,2.4096,2.1638,2.3433,,2.2091,,,2.3831,,2.0367,1.9866,,,,,1.9747,2.0300
2026-08,2.3204,2.6041,2.9334,3.0800,2.7666,3.0663,2.6066,2.7844,2.9960,2.8840,2.6420,2.9159,2.8536,2.6436,2.9825,2.5840,2.7479,2.3046,2.5025,
2026-09,2.2839,3.0053,3.4696,3.6757,3.3182,3.4480,3.3796,3.3399,3.4293,3.3707,2.4139,3.5247,3.3766,3.0287,3.3914,3.0374,3.6230,2.4263,2.8420,
2026-10,2.3164,3.0824,3.8940,4.4319,3.5679,3.6232,4.2151,4.0400,3.4747,3.6253,2.4801,3.8832,3.5886,3.1168,3.6962,3.3116,4.4852,2.5012,2.9281,
2026-11,2.4993,3.1773,4.1860,4.8528,3.7564,3.6896,4.3361,4.7640,3.6099,4.0701,2.8177,4.0588,3.7454,3.1939,4.0443,3.3232,4.7398,2.6411,2.9086,
2026-12,2.5286,2.9947,4.2310,5.0840,3.7029,3.5799,3.8762,5.2138,3.5875,4.1925,2.9886,4.0870,3.7752,3.0048,4.3505,2.9557,4.5868,2.7235,2.6346,
2027-01,2.2233,2.8823,4.2415,4.8854,3.5641,,3.1060,,3.2435,3.9365,,3.9596,,,4.7956,2.6417,4.3829,2.5205,,
2027-02,1.7748,2.3037,3.8724,5.1735,2.9152,,2.4275,,2.6635,3.5365,,,,,5.1053,2.2578,3.9294,2.2083,,
2027-03,1.3110,1.8322,3.2771,5.0275,2.3234,,1.7506,,1.9448,3.1152,,,,,4.8329,1.9822,3.2103,1.8529,,
2027-04,0.5754,1.2880,2.8229,4.7347,2.0105,,1.1589,,1.1699,2.8901,,,,,4.5235,1.8058,2.5497,1.3808,,
