# Combined ENSO forecast plume — RONI (relative Nino 3.4)
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-09-23
# p05/p25/p75/p95: model-weighted percentiles across all ensemble members (each model weighted equally regardless of ensemble size); months with fewer than 4 models are dropped.
# mean_<model>: that model's ensemble-mean forecast; multimodel_median_c: the model-weighted median (forecast only, no observed substitution); observed_c: observed monthly index.
# Member-level values are in enso_members_roni.csv.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
target_month,p05,p25,p75,p95,multimodel_median_c,mean_BOM,mean_CFSv2,mean_CMCC,mean_CanSIPS-CanESM5,mean_CanSIPS-GEM-NEMO,mean_DWD,mean_ECMWF,mean_JMA,mean_Meteo-France,mean_NASA-GEOS-S2S-2,mean_NCAR-CCSM4,mean_NCAR-CESM1,mean_SINTEX-F,mean_UKMO,observed_c
2025-12,,,,,,,,,,,,,,,,,,,,-0.9500
2026-01,,,,,,,,,,,,,,,,,,,,-1.0900
2026-02,,,,,,,,,,,,,,,,,,,,-0.6900
2026-03,,,,,,,,,,,,,,,,,,,,-0.5000
2026-04,,,,,,,,,,,,,,,,,,,,-0.1300
2026-05,,,,,,,,,,,,,,,,,,,,0.5200
2026-06,,,,,,,,,,,,,,,,,,,,1.0700
2026-07,,,,,,,,,,,,,,,,,,,,1.3300
2026-08,,,,,,,,,,,,,,,,,,,,1.6700
2026-09,2.3965,2.5687,2.9758,3.5660,2.6792,2.6498,,2.5764,2.9743,2.3762,3.5753,2.7371,2.6369,2.9799,3.1681,2.5256,2.6120,,2.6879,
2026-10,2.5654,2.8740,3.4057,3.7834,3.1481,3.0875,2.6722,3.0570,3.6134,2.9056,3.7165,3.2273,3.1691,3.3484,3.6702,2.8220,3.2273,2.6986,2.9144,
2026-11,2.6677,3.0633,3.6423,4.0252,3.3793,3.1599,2.9881,3.4637,3.6103,3.2987,3.9380,3.3975,3.2955,3.5540,4.0098,2.9029,3.7570,2.8824,2.8901,
2026-12,2.5518,2.9398,3.7582,4.3600,3.3297,3.0544,2.7684,3.7522,3.4430,3.2803,4.2077,3.4107,3.2829,3.3887,4.3539,2.7787,3.8543,2.8731,2.7044,
2027-01,2.0384,2.4758,3.6738,4.6341,2.9440,2.6705,2.0937,3.8538,2.9176,2.6932,4.1193,3.1787,3.1489,2.8787,4.6945,2.2619,3.7607,2.4594,2.4506,
2027-02,1.4509,1.8658,3.3695,4.8900,2.3689,2.1558,1.6195,3.6025,2.2874,2.1106,3.9940,2.8977,2.8738,1.8788,5.0352,1.8864,3.4847,1.7474,1.8872,
2027-03,0.7913,1.2623,2.7164,4.8091,1.6343,,1.1316,,1.4814,1.4760,,,,,4.8265,1.5314,2.8206,1.4052,,
2027-04,0.1210,0.7722,1.9934,4.4202,1.2340,,0.5740,,0.8013,1.1218,,,,,4.4262,1.2418,2.0923,0.9746,,
2027-05,-0.7107,0.3104,1.4703,4.0110,1.0975,,0.0987,,-0.3415,1.1123,,,,,3.9268,1.1480,1.3402,0.8267,,
2027-06,-2.9328,-1.7824,0.3569,1.1756,-0.3145,,-0.3375,,-2.2830,0.5718,,,,,,,,,,
