# Every day since 1940 — daily global mean temperature matrix (ERA5)
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-08-17
# Rows are day-of-year (1-366), columns are years — the heatmap grid exactly.
# Absolute global mean 2m temperature.
# Source: ECMWF ERA5 via Copernicus Climate Pulse.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
day_of_year,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
1,11.718,11.817,11.566,11.862,11.954,11.830,11.733,11.566,11.954,11.613,11.676,11.567,11.928,11.731,11.561,11.606,11.467,11.704,11.822,11.612,11.956,11.849,11.782,11.872,12.070,11.463,11.966,11.797,11.759,11.620,12.028,11.824,11.861,12.206,12.014,11.883,11.990,11.722,11.878,12.045,12.104,12.253,11.970,12.155,11.946,11.899,12.044,11.830,12.313,11.840,12.412,12.293,12.199,12.128,12.127,12.588,12.332,12.071,12.312,12.140,12.149,12.095,12.691,12.240,12.753,12.529,12.600,12.705,12.186,12.574,12.494,12.341,12.678,12.504,12.554,12.517,13.169,13.069,12.714,12.801,13.106,12.604,12.664,12.966,13.398,13.310,13.072
2,11.662,11.808,11.517,11.829,11.966,11.764,11.704,11.539,11.918,11.635,11.621,11.574,11.798,11.754,11.508,11.589,11.492,11.663,11.853,11.565,11.948,11.808,11.789,11.960,12.117,11.474,11.923,11.769,11.677,11.634,12.012,11.821,11.896,12.156,11.940,11.822,11.933,11.772,11.904,12.039,12.055,12.223,11.888,12.075,12.049,11.953,12.038,11.800,12.358,11.817,12.371,12.247,12.203,12.171,12.184,12.594,12.306,12.184,12.420,12.084,12.106,12.100,12.616,12.299,12.738,12.613,12.636,12.786,12.117,12.501,12.478,12.362,12.598,12.506,12.556,12.547,13.139,13.031,12.735,12.868,13.197,12.620,12.650,12.951,13.296,13.248,13.099
3,11.664,11.784,11.491,11.739,11.992,11.699,11.742,11.498,11.939,11.622,11.507,11.535,11.705,11.761,11.530,11.654,11.530,11.624,11.873,11.514,11.935,11.805,11.818,11.977,12.097,11.459,11.926,11.697,11.618,11.693,12.041,11.803,11.810,12.126,11.852,11.764,11.860,11.802,11.976,12.012,11.983,12.195,11.832,12.029,12.149,11.998,12.012,11.710,12.361,11.822,12.318,12.215,12.246,12.155,12.183,12.549,12.246,12.283,12.493,12.093,12.036,12.092,12.604,12.397,12.700,12.701,12.617,12.853,12.062,12.438,12.548,12.360,12.488,12.530,12.536,12.587,13.098,12.960,12.752,12.906,13.175,12.672,12.600,12.905,13.192,13.237,13.102
4,11.676,11.714,11.508,11.640,11.940,11.677,11.750,11.586,11.985,11.631,11.433,11.436,11.632,11.688,11.560,11.706,11.595,11.662,11.925,11.497,11.889,11.756,11.835,12.007,12.088,11.447,11.900,11.663,11.650,11.809,12.074,11.785,11.728,12.143,11.859,11.745,11.729,11.843,11.949,11.992,11.833,12.241,11.840,12.065,12.196,11.963,11.975,11.721,12.391,11.776,12.243,12.195,12.255,12.134,12.103,12.452,12.128,12.226,12.527,12.095,11.984,12.141,12.631,12.474,12.629,12.687,12.568,12.927,12.123,12.416,12.552,12.362,12.453,12.586,12.461,12.639,13.077,12.878,12.743,12.891,13.152,12.691,12.590,12.828,13.136,13.183,13.057
5,11.600,11.631,11.562,11.640,11.862,11.668,11.797,11.765,11.937,11.700,11.419,11.376,11.623,11.613,11.570,11.713,11.708,11.663,11.981,11.457,11.901,11.739,11.904,12.018,12.077,11.403,11.825,11.627,11.673,11.848,12.113,11.835,11.671,12.182,11.902,11.761,11.663,11.899,11.941,12.044,11.828,12.267,11.823,12.146,12.285,11.992,11.962,11.785,12.426,11.763,12.172,12.162,12.292,12.029,12.065,12.377,12.087,12.145,12.531,12.085,11.922,12.153,12.649,12.552,12.524,12.692,12.527,12.930,12.289,12.432,12.516,12.389,12.526,12.590,12.443,12.612,13.083,12.730,12.764,12.833,13.058,12.696,12.635,12.769,13.111,13.141,13.079
6,11.518,11.712,11.708,11.674,11.816,11.673,11.829,11.852,11.874,11.820,11.447,11.318,11.583,11.548,11.539,11.725,11.767,11.629,11.985,11.502,11.897,11.766,11.971,11.954,12.006,11.398,11.728,11.630,11.669,11.872,12.050,11.860,11.586,12.202,11.924,11.813,11.630,11.957,11.948,12.064,11.854,12.273,11.795,12.241,12.280,11.978,12.009,11.840,12.414,11.813,12.126,12.077,12.273,11.991,12.013,12.330,12.109,12.087,12.508,12.064,11.923,12.179,12.653,12.586,12.380,12.677,12.472,12.868,12.379,12.459,12.497,12.428,12.557,12.567,12.432,12.588,13.124,12.603,12.807,12.801,13.026,12.724,12.701,12.726,13.086,13.137,13.158
7,11.496,11.760,11.812,11.704,11.813,11.672,11.805,11.917,11.892,11.868,11.401,11.300,11.540,11.582,11.560,11.777,11.740,11.612,12.015,11.679,11.903,11.841,11.991,11.974,11.920,11.371,11.653,11.672,11.567,11.836,12.003,11.836,11.552,12.128,11.878,11.845,11.581,12.038,11.911,12.044,11.879,12.215,11.726,12.262,12.183,11.979,12.017,11.882,12.410,11.824,12.079,12.036,12.247,12.006,12.008,12.319,12.150,12.045,12.427,12.062,11.974,12.175,12.617,12.640,12.191,12.711,12.444,12.730,12.364,12.430,12.443,12.461,12.497,12.576,12.438,12.512,13.139,12.482,12.857,12.733,13.031,12.759,12.757,12.727,13.011,13.185,13.184
8,11.455,11.808,11.838,11.735,11.847,11.663,11.812,11.957,11.979,11.813,11.434,11.335,11.610,11.691,11.600,11.856,11.757,11.568,12.006,11.771,11.878,11.865,12.006,11.936,11.804,11.386,11.625,11.728,11.441,11.785,11.965,11.781,11.571,12.077,11.746,11.842,11.558,12.038,11.865,12.023,11.941,12.153,11.693,12.295,12.054,12.024,11.971,11.836,12.372,11.777,12.079,12.071,12.192,12.011,11.995,12.323,12.130,11.940,12.422,12.069,12.076,12.180,12.643,12.686,12.121,12.720,12.422,12.704,12.289,12.409,12.430,12.463,12.421,12.566,12.463,12.395,13.121,12.456,12.892,12.646,12.972,12.751,12.763,12.718,13.015,13.214,13.088
9,11.349,11.799,11.906,11.762,11.884,11.602,11.808,11.916,12.036,11.804,11.518,11.387,11.685,11.789,11.558,11.824,11.826,11.529,11.999,11.823,11.909,11.859,11.921,11.869,11.729,11.386,11.574,11.707,11.458,11.715,11.991,11.784,11.589,12.076,11.635,11.775,11.555,11.995,11.792,12.020,12.010,12.142,11.764,12.295,12.004,12.047,12.002,11.816,12.375,11.766,12.096,12.143,12.138,11.948,11.965,12.261,12.199,11.918,12.375,12.060,12.161,12.164,12.732,12.685,12.202,12.732,12.393,12.719,12.228,12.367,12.456,12.398,12.397,12.561,12.562,12.395,13.087,12.534,12.858,12.604,12.950,12.761,12.737,12.694,13.057,13.219,12.977
10,11.354,11.838,11.931,11.754,11.939,11.553,11.831,11.886,11.966,11.783,11.561,11.424,11.712,11.826,11.584,11.800,11.900,11.563,11.977,11.879,11.925,11.794,11.784,11.748,11.707,11.352,11.492,11.676,11.516,11.660,11.984,11.713,11.571,12.116,11.610,11.713,11.619,11.925,11.775,11.999,12.061,12.137,11.740,12.314,12.016,12.045,12.080,11.882,12.345,11.794,12.160,12.206,12.098,11.928,11.994,12.149,12.288,11.967,12.314,12.033,12.217,12.116,12.846,12.563,12.305,12.741,12.368,12.745,12.232,12.300,12.452,12.346,12.370,12.562,12.630,12.494,13.084,12.600,12.816,12.544,12.889,12.766,12.722,12.678,13.030,13.230,12.931
