# Per-member warming trends for three windows — CMIP5 (RCP4.5)
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-09-03
# OLS trends in degC per decade through the latest observed month; source distinguishes individual model ensemble members from the five observational records.
# These are the values binned in the dashboard's trend histograms.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
period,source,name,trend_c_per_decade
1970-present,model_member,0,0.2437
1970-present,model_member,1,0.2229
1970-present,model_member,2,0.2429
1970-present,model_member,3,0.2700
1970-present,model_member,4,0.3038
1970-present,model_member,5,0.2992
1970-present,model_member,6,0.2335
1970-present,model_member,7,0.2303
1970-present,model_member,8,0.1997
1970-present,model_member,9,0.2134
1970-present,model_member,10,0.2427
1970-present,model_member,11,0.2036
1970-present,model_member,12,0.1950
1970-present,model_member,13,0.2020
1970-present,model_member,14,0.1875
1970-present,model_member,15,0.1849
1970-present,model_member,16,0.3298
1970-present,model_member,17,0.2000
1970-present,model_member,18,0.1959
1970-present,model_member,19,0.2007
1970-present,model_member,20,0.2182
1970-present,model_member,21,0.2124
1970-present,model_member,22,0.2172
1970-present,model_member,23,0.1702
1970-present,model_member,24,0.1487
1970-present,model_member,25,0.2086
1970-present,model_member,26,0.1900
1970-present,model_member,27,0.2900
1970-present,model_member,28,0.2380
1970-present,model_member,29,0.2466
1970-present,model_member,30,0.1040
1970-present,model_member,31,0.2694
1970-present,model_member,32,0.2586
1970-present,model_member,33,0.1507
1970-present,model_member,34,0.2179
1970-present,model_member,35,0.2512
1970-present,model_member,36,0.2308
1970-present,model_member,37,0.2086
1970-present,model_member,38,0.2164
1970-present,model_member,39,0.1209
1970-present,model_member,40,0.1911
1970-present,model_member,41,0.1916
1970-present,observed,HadCRUT5,0.2044
1970-present,observed,GISTEMP,0.2032
1970-present,observed,NOAA,0.1956
1970-present,observed,Berkeley Earth,0.2085
1970-present,observed,ERA5 (C3S),0.2140
2001-present,model_member,0,0.2795
2001-present,model_member,1,0.2707
2001-present,model_member,2,0.1993
2001-present,model_member,3,0.2090
2001-present,model_member,4,0.3064
2001-present,model_member,5,0.2907
2001-present,model_member,6,0.1296
2001-present,model_member,7,0.2239
2001-present,model_member,8,0.2358
2001-present,model_member,9,0.2040
2001-present,model_member,10,0.2636
2001-present,model_member,11,0.1255
2001-present,model_member,12,0.2376
2001-present,model_member,13,0.1923
2001-present,model_member,14,0.2055
2001-present,model_member,15,0.1896
2001-present,model_member,16,0.4079
2001-present,model_member,17,0.0449
2001-present,model_member,18,0.1686
2001-present,model_member,19,0.2406
2001-present,model_member,20,0.2301
2001-present,model_member,21,0.1965
2001-present,model_member,22,0.1808
2001-present,model_member,23,0.1382
2001-present,model_member,24,0.1059
2001-present,model_member,25,0.1563
2001-present,model_member,26,0.1794
2001-present,model_member,27,0.2055
2001-present,model_member,28,0.3512
2001-present,model_member,29,0.3063
2001-present,model_member,30,0.0961
2001-present,model_member,31,0.2307
2001-present,model_member,32,0.2843
2001-present,model_member,33,0.1623
2001-present,model_member,34,0.1467
2001-present,model_member,35,0.3758
2001-present,model_member,36,0.3416
2001-present,model_member,37,0.1984
2001-present,model_member,38,0.1902
2001-present,model_member,39,0.2085
2001-present,model_member,40,0.2190
2001-present,model_member,41,0.1374
2001-present,observed,HadCRUT5,0.2459
2001-present,observed,GISTEMP,0.2625
2001-present,observed,NOAA,0.2637
2001-present,observed,Berkeley Earth,0.2580
2001-present,observed,ERA5 (C3S),0.2816
2011-present,model_member,0,0.1956
2011-present,model_member,1,0.2626
2011-present,model_member,2,0.2942
2011-present,model_member,3,0.2433
2011-present,model_member,4,0.3431
2011-present,model_member,5,0.3595
2011-present,model_member,6,0.1578
2011-present,model_member,7,0.2117
2011-present,model_member,8,0.2849
2011-present,model_member,9,0.2480
2011-present,model_member,10,0.3164
2011-present,model_member,11,0.1191
2011-present,model_member,12,0.2777
2011-present,model_member,13,0.2810
2011-present,model_member,14,0.3072
2011-present,model_member,15,0.1906
2011-present,model_member,16,0.3986
2011-present,model_member,17,0.2253
2011-present,model_member,18,0.1587
2011-present,model_member,19,0.2651
2011-present,model_member,20,0.2622
2011-present,model_member,21,0.1930
2011-present,model_member,22,0.1580
2011-present,model_member,23,0.0711
2011-present,model_member,24,0.1108
2011-present,model_member,25,0.1529
2011-present,model_member,26,0.2444
2011-present,model_member,27,0.1537
2011-present,model_member,28,0.3710
2011-present,model_member,29,0.2914
2011-present,model_member,30,0.1249
2011-present,model_member,31,0.2762
2011-present,model_member,32,0.2401
2011-present,model_member,33,0.1854
2011-present,model_member,34,0.2032
2011-present,model_member,35,0.4049
2011-present,model_member,36,0.3824
2011-present,model_member,37,-0.0081
2011-present,model_member,38,0.2489
2011-present,model_member,39,0.3051
2011-present,model_member,40,0.2642
2011-present,model_member,41,0.1680
2011-present,observed,HadCRUT5,0.3507
2011-present,observed,GISTEMP,0.3828
2011-present,observed,NOAA,0.3699
2011-present,observed,Berkeley Earth,0.3910
2011-present,observed,ERA5 (C3S),0.4120
