# Per-member warming trends for three windows — CMIP6 (SSP2-4.5)
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-08-16
# OLS trends in degC per decade through the latest observed month; source distinguishes individual model ensemble members from the five observational records.
# These are the values binned in the dashboard's trend histograms.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
period,source,name,trend_c_per_decade
1970-present,model_member,0,0.2375
1970-present,model_member,1,0.2614
1970-present,model_member,2,0.2612
1970-present,model_member,3,0.2000
1970-present,model_member,4,0.1325
1970-present,model_member,5,0.3569
1970-present,model_member,6,0.3569
1970-present,model_member,7,0.3317
1970-present,model_member,8,0.2443
1970-present,model_member,9,0.2568
1970-present,model_member,10,0.2450
1970-present,model_member,11,0.2108
1970-present,model_member,12,0.2141
1970-present,model_member,13,0.2047
1970-present,model_member,14,0.2281
1970-present,model_member,15,0.3570
1970-present,model_member,16,0.2382
1970-present,model_member,17,0.2245
1970-present,model_member,18,0.2315
1970-present,model_member,19,0.2435
1970-present,model_member,20,0.2112
1970-present,model_member,21,0.1738
1970-present,model_member,22,0.3608
1970-present,model_member,23,0.1848
1970-present,model_member,24,0.1826
1970-present,model_member,25,0.2356
1970-present,model_member,26,0.3178
1970-present,model_member,27,0.2263
1970-present,model_member,28,0.1564
1970-present,model_member,29,0.1913
1970-present,model_member,30,0.1756
1970-present,model_member,31,0.1926
1970-present,model_member,32,0.2350
1970-present,model_member,33,0.2983
1970-present,model_member,34,0.2080
1970-present,model_member,35,0.1913
1970-present,model_member,36,0.3614
1970-present,model_member,37,0.1913
1970-present,model_member,38,0.2375
1970-present,model_member,39,0.3614
1970-present,observed,HadCRUT5,0.2044
1970-present,observed,GISTEMP,0.2032
1970-present,observed,NOAA,0.1956
1970-present,observed,Berkeley Earth,0.2085
1970-present,observed,ERA5 (C3S),0.2135
2001-present,model_member,0,0.3873
2001-present,model_member,1,0.1736
2001-present,model_member,2,0.2590
2001-present,model_member,3,0.2272
2001-present,model_member,4,0.1474
2001-present,model_member,5,0.4305
2001-present,model_member,6,0.4305
2001-present,model_member,7,0.4387
2001-present,model_member,8,0.2512
2001-present,model_member,9,0.2320
2001-present,model_member,10,0.3737
2001-present,model_member,11,0.0803
2001-present,model_member,12,0.2674
2001-present,model_member,13,0.3132
2001-present,model_member,14,0.2641
2001-present,model_member,15,0.3692
2001-present,model_member,16,0.2485
2001-present,model_member,17,0.2531
2001-present,model_member,18,0.1751
2001-present,model_member,19,0.2490
2001-present,model_member,20,0.2734
2001-present,model_member,21,0.2522
2001-present,model_member,22,0.4753
2001-present,model_member,23,0.1862
2001-present,model_member,24,0.1679
2001-present,model_member,25,0.3313
2001-present,model_member,26,0.4938
2001-present,model_member,27,0.1989
2001-present,model_member,28,0.1454
2001-present,model_member,29,0.2483
2001-present,model_member,30,0.2251
2001-present,model_member,31,0.1576
2001-present,model_member,32,0.3137
2001-present,model_member,33,0.4221
2001-present,model_member,34,0.1853
2001-present,model_member,35,0.1854
2001-present,model_member,36,0.4127
2001-present,model_member,37,0.1854
2001-present,model_member,38,0.3873
2001-present,model_member,39,0.4127
2001-present,observed,HadCRUT5,0.2459
2001-present,observed,GISTEMP,0.2625
2001-present,observed,NOAA,0.2637
2001-present,observed,Berkeley Earth,0.2580
2001-present,observed,ERA5 (C3S),0.2801
2011-present,model_member,0,0.3974
2011-present,model_member,1,0.2048
2011-present,model_member,2,0.3973
2011-present,model_member,3,0.2643
2011-present,model_member,4,0.1855
2011-present,model_member,5,0.5224
2011-present,model_member,6,0.5224
2011-present,model_member,7,0.5308
2011-present,model_member,8,0.2868
2011-present,model_member,9,0.2208
2011-present,model_member,10,0.5578
2011-present,model_member,11,-0.0105
2011-present,model_member,12,0.3636
2011-present,model_member,13,0.3677
2011-present,model_member,14,0.3152
2011-present,model_member,15,0.3239
2011-present,model_member,16,0.2400
2011-present,model_member,17,0.4062
2011-present,model_member,18,0.1959
2011-present,model_member,19,0.3410
2011-present,model_member,20,0.3285
2011-present,model_member,21,0.5046
2011-present,model_member,22,0.5052
2011-present,model_member,23,0.2878
2011-present,model_member,24,0.3304
2011-present,model_member,25,0.3755
2011-present,model_member,26,0.6660
2011-present,model_member,27,0.1093
2011-present,model_member,28,0.1890
2011-present,model_member,29,0.3028
2011-present,model_member,30,0.2083
2011-present,model_member,31,0.2294
2011-present,model_member,32,0.4394
2011-present,model_member,33,0.3853
2011-present,model_member,34,-0.0583
2011-present,model_member,35,0.0662
2011-present,model_member,36,0.5003
2011-present,model_member,37,0.0662
2011-present,model_member,38,0.3974
2011-present,model_member,39,0.5003
2011-present,observed,HadCRUT5,0.3507
2011-present,observed,GISTEMP,0.3828
2011-present,observed,NOAA,0.3699
2011-present,observed,Berkeley Earth,0.3910
2011-present,observed,ERA5 (C3S),0.4097
