# Warming trend by start year (to present) — CMIP5 (RCP4.5)
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-09-26
# OLS trends in degC per decade from each start year through the latest observed month; model columns are the ensemble mean and 5th-95th percentile across members.
# Trends are baseline-independent.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
start_year,model_mean,model_p05,model_p95,hadcrut5,gistemp,noaa,berkeley,copernicus,obs_median
1970,0.2179,0.1488,0.2987,0.2076,0.2038,0.1958,0.2078,0.2140,0.2076
1971,0.2191,0.1484,0.2979,0.2090,0.2059,0.1975,0.2091,0.2169,0.2090
1972,0.2210,0.1510,0.2959,0.2078,0.2055,0.1967,0.2078,0.2165,0.2078
1973,0.2232,0.1533,0.2970,0.2084,0.2066,0.1982,0.2085,0.2184,0.2084
1974,0.2253,0.1562,0.3009,0.2118,0.2107,0.2020,0.2119,0.2224,0.2118
1975,0.2271,0.1595,0.3050,0.2101,0.2094,0.2008,0.2100,0.2201,0.2100
1976,0.2285,0.1622,0.3047,0.2093,0.2090,0.2000,0.2088,0.2175,0.2090
1977,0.2296,0.1615,0.3055,0.2051,0.2058,0.1971,0.2050,0.2124,0.2051
1978,0.2311,0.1609,0.3094,0.2082,0.2089,0.2002,0.2082,0.2134,0.2082
1979,0.2337,0.1619,0.3141,0.2084,0.2087,0.2008,0.2082,0.2124,0.2084
1980,0.2368,0.1661,0.3138,0.2103,0.2107,0.2030,0.2097,0.2150,0.2103
1981,0.2409,0.1709,0.3173,0.2151,0.2150,0.2079,0.2149,0.2213,0.2150
1982,0.2458,0.1753,0.3235,0.2215,0.2214,0.2141,0.2213,0.2288,0.2214
1983,0.2483,0.1729,0.3318,0.2211,0.2220,0.2149,0.2211,0.2302,0.2211
1984,0.2468,0.1718,0.3323,0.2263,0.2280,0.2207,0.2263,0.2376,0.2263
1985,0.2466,0.1753,0.3305,0.2254,0.2283,0.2212,0.2256,0.2377,0.2256
1986,0.2469,0.1765,0.3290,0.2235,0.2265,0.2200,0.2230,0.2355,0.2235
1987,0.2477,0.1754,0.3326,0.2223,0.2260,0.2207,0.2230,0.2355,0.2230
1988,0.2497,0.1763,0.3368,0.2260,0.2302,0.2251,0.2264,0.2409,0.2264
1989,0.2522,0.1745,0.3415,0.2311,0.2371,0.2316,0.2313,0.2476,0.2316
1990,0.2558,0.1690,0.3442,0.2313,0.2388,0.2326,0.2307,0.2488,0.2326
1991,0.2623,0.1719,0.3488,0.2392,0.2482,0.2403,0.2383,0.2603,0.2403
1992,0.2657,0.1753,0.3545,0.2463,0.2558,0.2476,0.2454,0.2698,0.2476
1993,0.2561,0.1623,0.3478,0.2417,0.2536,0.2456,0.2418,0.2670,0.2456
1994,0.2471,0.1588,0.3414,0.2372,0.2500,0.2431,0.2383,0.2648,0.2431
1995,0.2392,0.1621,0.3300,0.2344,0.2491,0.2420,0.2362,0.2625,0.2420
1996,0.2311,0.1557,0.3300,0.2390,0.2551,0.2487,0.2430,0.2699,0.2487
1997,0.2257,0.1439,0.3278,0.2358,0.2526,0.2469,0.2412,0.2677,0.2469
1998,0.2232,0.1377,0.3390,0.2409,0.2575,0.2527,0.2471,0.2721,0.2527
1999,0.2205,0.1249,0.3436,0.2584,0.2733,0.2688,0.2642,0.2910,0.2688
2000,0.2174,0.1152,0.3468,0.2554,0.2706,0.2680,0.2624,0.2883,0.2680
2001,0.2159,0.1069,0.3508,0.2499,0.2657,0.2649,0.2571,0.2816,0.2649
2002,0.2188,0.1028,0.3683,0.2564,0.2709,0.2710,0.2633,0.2865,0.2709
2003,0.2226,0.1012,0.3798,0.2683,0.2854,0.2829,0.2778,0.3007,0.2829
2004,0.2247,0.1035,0.3910,0.2801,0.2990,0.2952,0.2912,0.3135,0.2952
2005,0.2270,0.1074,0.3943,0.2816,0.3017,0.2992,0.2940,0.3177,0.2992
2006,0.2323,0.1146,0.3817,0.3001,0.3222,0.3191,0.3182,0.3427,0.3191
2007,0.2373,0.1164,0.3779,0.3139,0.3378,0.3349,0.3369,0.3624,0.3369
2008,0.2378,0.1015,0.3760,0.3313,0.3580,0.3493,0.3558,0.3820,0.3558
2009,0.2352,0.1134,0.3684,0.3215,0.3530,0.3412,0.3482,0.3732,0.3482
2010,0.2338,0.1209,0.3605,0.3306,0.3637,0.3499,0.3606,0.3825,0.3606
2011,0.2368,0.1112,0.3818,0.3584,0.3885,0.3709,0.3903,0.4120,0.3885
