# Warming trend by start year (to present) — CMIP6 (SSP2-4.5)
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-09-04
# OLS trends in degC per decade from each start year through the latest observed month; model columns are the ensemble mean and 5th-95th percentile across members.
# Trends are baseline-independent.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
start_year,model_mean,model_p05,model_p95,hadcrut5,gistemp,noaa,berkeley,copernicus,obs_median
1970,0.2434,0.1734,0.3611,0.2044,0.2032,0.1956,0.2085,0.2140,0.2044
1971,0.2462,0.1780,0.3672,0.2060,0.2052,0.1973,0.2097,0.2169,0.2060
1972,0.2490,0.1830,0.3706,0.2048,0.2049,0.1965,0.2084,0.2165,0.2049
1973,0.2513,0.1834,0.3740,0.2055,0.2059,0.1980,0.2090,0.2184,0.2059
1974,0.2544,0.1844,0.3769,0.2090,0.2101,0.2018,0.2124,0.2224,0.2101
1975,0.2578,0.1867,0.3787,0.2074,0.2089,0.2006,0.2103,0.2201,0.2089
1976,0.2602,0.1848,0.3834,0.2065,0.2084,0.1998,0.2090,0.2175,0.2084
1977,0.2621,0.1836,0.3883,0.2024,0.2052,0.1970,0.2051,0.2124,0.2051
1978,0.2654,0.1800,0.3916,0.2055,0.2083,0.2000,0.2083,0.2134,0.2083
1979,0.2687,0.1766,0.3971,0.2057,0.2082,0.2007,0.2082,0.2124,0.2082
1980,0.2721,0.1759,0.4001,0.2077,0.2102,0.2029,0.2097,0.2150,0.2097
1981,0.2762,0.1794,0.4011,0.2124,0.2145,0.2078,0.2150,0.2213,0.2145
1982,0.2811,0.1810,0.4045,0.2189,0.2209,0.2140,0.2214,0.2288,0.2209
1983,0.2843,0.1805,0.4082,0.2185,0.2215,0.2147,0.2214,0.2302,0.2214
1984,0.2835,0.1757,0.4111,0.2239,0.2274,0.2205,0.2265,0.2376,0.2265
1985,0.2842,0.1850,0.4130,0.2230,0.2278,0.2211,0.2258,0.2377,0.2258
1986,0.2855,0.1895,0.4108,0.2211,0.2259,0.2199,0.2232,0.2355,0.2232
1987,0.2869,0.1872,0.4138,0.2199,0.2253,0.2207,0.2232,0.2355,0.2232
1988,0.2887,0.1893,0.4157,0.2236,0.2296,0.2250,0.2264,0.2409,0.2264
1989,0.2911,0.1916,0.4153,0.2287,0.2365,0.2315,0.2313,0.2476,0.2315
1990,0.2969,0.1919,0.4276,0.2289,0.2381,0.2324,0.2306,0.2488,0.2324
1991,0.3067,0.1997,0.4389,0.2368,0.2474,0.2402,0.2383,0.2603,0.2402
1992,0.3144,0.2003,0.4509,0.2438,0.2550,0.2474,0.2455,0.2698,0.2474
1993,0.3053,0.1919,0.4391,0.2392,0.2526,0.2453,0.2420,0.2670,0.2453
1994,0.2960,0.1907,0.4312,0.2346,0.2488,0.2427,0.2385,0.2648,0.2427
1995,0.2906,0.1789,0.4197,0.2316,0.2477,0.2416,0.2363,0.2625,0.2416
1996,0.2856,0.1629,0.4157,0.2361,0.2534,0.2482,0.2432,0.2699,0.2482
1997,0.2841,0.1548,0.4306,0.2327,0.2506,0.2462,0.2414,0.2677,0.2462
1998,0.2838,0.1516,0.4283,0.2376,0.2551,0.2519,0.2474,0.2721,0.2519
1999,0.2820,0.1531,0.4214,0.2550,0.2708,0.2680,0.2649,0.2910,0.2680
2000,0.2805,0.1520,0.4292,0.2517,0.2677,0.2670,0.2632,0.2883,0.2670
2001,0.2808,0.1468,0.4412,0.2459,0.2625,0.2637,0.2580,0.2816,0.2625
2002,0.2853,0.1391,0.4637,0.2522,0.2673,0.2695,0.2639,0.2865,0.2673
2003,0.2907,0.1386,0.4940,0.2639,0.2816,0.2814,0.2785,0.3007,0.2814
2004,0.2982,0.1475,0.5162,0.2755,0.2949,0.2940,0.2918,0.3135,0.2940
2005,0.3075,0.1530,0.5365,0.2767,0.2972,0.2979,0.2950,0.3177,0.2972
2006,0.3154,0.1515,0.5315,0.2950,0.3174,0.3177,0.3196,0.3427,0.3177
2007,0.3175,0.1288,0.5163,0.3085,0.3328,0.3334,0.3381,0.3624,0.3334
2008,0.3190,0.1103,0.5326,0.3255,0.3529,0.3479,0.3571,0.3820,0.3529
2009,0.3243,0.1422,0.5362,0.3149,0.3476,0.3397,0.3492,0.3732,0.3476
2010,0.3244,0.1176,0.5341,0.3235,0.3580,0.3484,0.3615,0.3825,0.3580
2011,0.3236,0.0599,0.5328,0.3507,0.3828,0.3699,0.3910,0.4120,0.3828
