# September global mean anomaly by year, with the September 2026 projection (ERA5)
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-09-05
# Anomalies vs preindustrial 1850-1900.
# Projection: median and calibrated quantiles of the ECMWF EC46 46-day ensemble (50 members, init 2026-09-04) blended with 3 days of month-to-date observations; interval widths include verified model-error terms and are capped against overconfidence while the verification archive is short.
# The current year's monthly_mean_c is left blank (incomplete month); its month-to-date and projection ride in their own columns.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
year,monthly_mean_c,month_to_date_c,projected_c,projection_p05_c,projection_p25_c,projection_p75_c,projection_p95_c,method
1940,0.1712,,,,,,,
1941,-0.0481,,,,,,,
1942,0.0647,,,,,,,
1943,0.0962,,,,,,,
1944,0.3936,,,,,,,
1945,0.2803,,,,,,,
1946,0.1521,,,,,,,
1947,0.1142,,,,,,,
1948,0.0900,,,,,,,
1949,0.1727,,,,,,,
1950,0.1411,,,,,,,
1951,0.3132,,,,,,,
1952,0.1934,,,,,,,
1953,0.1739,,,,,,,
1954,-0.0692,,,,,,,
1955,0.1226,,,,,,,
1956,-0.1157,,,,,,,
1957,0.2721,,,,,,,
1958,0.1503,,,,,,,
1959,0.1015,,,,,,,
1960,0.1822,,,,,,,
1961,0.2898,,,,,,,
1962,0.1596,,,,,,,
1963,0.3586,,,,,,,
1964,-0.0905,,,,,,,
1965,0.0835,,,,,,,
1966,0.2049,,,,,,,
1967,0.2240,,,,,,,
1968,0.0634,,,,,,,
1969,0.2278,,,,,,,
1970,0.1928,,,,,,,
1971,0.1261,,,,,,,
1972,0.2569,,,,,,,
1973,0.2131,,,,,,,
1974,0.0119,,,,,,,
1975,-0.0338,,,,,,,
1976,0.1087,,,,,,,
1977,0.1605,,,,,,,
1978,0.1213,,,,,,,
1979,0.4297,,,,,,,
1980,0.4382,,,,,,,
1981,0.4699,,,,,,,
1982,0.3404,,,,,,,
1983,0.6090,,,,,,,
1984,0.3199,,,,,,,
1985,0.2852,,,,,,,
1986,0.2790,,,,,,,
1987,0.5818,,,,,,,
1988,0.6187,,,,,,,
1989,0.5230,,,,,,,
1990,0.5754,,,,,,,
1991,0.6042,,,,,,,
1992,0.1969,,,,,,,
1993,0.2894,,,,,,,
1994,0.5672,,,,,,,
1995,0.6054,,,,,,,
1996,0.4783,,,,,,,
1997,0.7414,,,,,,,
1998,0.7533,,,,,,,
1999,0.6054,,,,,,,
2000,0.5672,,,,,,,
2001,0.7278,,,,,,,
2002,0.8112,,,,,,,
2003,0.8797,,,,,,,
2004,0.7660,,,,,,,
2005,0.9356,,,,,,,
2006,0.8542,,,,,,,
2007,0.7161,,,,,,,
2008,0.7760,,,,,,,
2009,0.9097,,,,,,,
2010,0.9049,,,,,,,
2011,0.8533,,,,,,,
2012,0.9188,,,,,,,
2013,0.9757,,,,,,,
2014,0.9903,,,,,,,
2015,1.0728,,,,,,,
2016,1.1636,,,,,,,
2017,1.0855,,,,,,,
2018,1.0054,,,,,,,
2019,1.1847,,,,,,,
2020,1.2395,,,,,,,
2021,1.2074,,,,,,,
2022,1.1554,,,,,,,
2023,1.7363,,,,,,,
2024,1.5337,,,,,,,
2025,1.4682,,,,,,,
2026,,1.7290,1.6563,1.4594,1.5836,1.7290,1.8532,ec46_blend
