# Annual global mean surface temperature anomaly (ERA5)
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-08-24
# Calendar-year means of the daily anomalies vs preindustrial 1850-1900; the current year is a year-to-date mean.
# ENSO-removed column as in timeseries_daily.csv.
# Source: ECMWF ERA5 via Copernicus Climate Pulse.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
year,annual_mean_c,annual_mean_enso_removed_c,n_days,status
1940,0.1939,0.1404,366,complete
1941,0.2382,0.1328,365,complete
1942,0.1484,0.1318,365,complete
1943,0.1531,0.2304,365,complete
1944,0.3444,0.3606,366,complete
1945,0.2065,0.2640,365,complete
1946,0.2085,0.2463,365,complete
1947,0.2532,0.2717,365,complete
1948,0.1920,0.1911,366,complete
1949,0.2253,0.2547,365,complete
1950,0.1141,0.2161,365,complete
1951,0.2479,0.2448,365,complete
1952,0.2291,0.2055,366,complete
1953,0.3070,0.2628,365,complete
1954,0.1097,0.1183,365,complete
1955,0.0929,0.1640,365,complete
1956,0.0321,0.1198,366,complete
1957,0.2815,0.2470,365,complete
1958,0.3475,0.2492,365,complete
1959,0.3126,0.2867,365,complete
1960,0.2665,0.2576,366,complete
1961,0.3422,0.3429,365,complete
1962,0.2819,0.2971,365,complete
1963,0.3189,0.2996,365,complete
1964,0.1068,0.0972,366,complete
1965,0.1704,0.1518,365,complete
1966,0.2476,0.1698,365,complete
1967,0.2628,0.2923,365,complete
1968,0.1985,0.2203,366,complete
1969,0.3306,0.2626,365,complete
1970,0.3032,0.2933,365,complete
1971,0.1502,0.2420,365,complete
1972,0.2854,0.2692,366,complete
1973,0.3870,0.3559,365,complete
1974,0.1137,0.2341,365,complete
1975,0.1366,0.2229,365,complete
1976,0.0678,0.1296,366,complete
1977,0.3545,0.3012,365,complete
1978,0.2954,0.2799,365,complete
1979,0.4529,0.4377,365,complete
1980,0.5813,0.5462,366,complete
1981,0.6157,0.6389,365,complete
1982,0.4165,0.3784,365,complete
1983,0.6104,0.4902,365,complete
1984,0.3988,0.4567,366,complete
1985,0.3593,0.4346,365,complete
1986,0.4464,0.4548,365,complete
1987,0.6023,0.4849,365,complete
1988,0.6346,0.6522,366,complete
1989,0.5158,0.6220,365,complete
1990,0.7487,0.7330,365,complete
1991,0.6918,0.6467,365,complete
1992,0.4599,0.3638,366,complete
1993,0.5063,0.4796,365,complete
1994,0.5442,0.5243,365,complete
1995,0.7186,0.6942,365,complete
1996,0.5897,0.6491,366,complete
1997,0.7134,0.6653,365,complete
1998,0.9004,0.8043,365,complete
1999,0.6310,0.7429,365,complete
2000,0.6260,0.7229,366,complete
2001,0.7886,0.8300,365,complete
2002,0.8844,0.8679,365,complete
2003,0.8723,0.8283,365,complete
2004,0.8082,0.7785,366,complete
2005,0.9726,0.9395,365,complete
2006,0.9236,0.9559,365,complete
2007,0.9164,0.9199,365,complete
2008,0.7845,0.8947,366,complete
2009,0.9151,0.9360,365,complete
2010,1.0094,0.9835,365,complete
2011,0.8697,0.9649,365,complete
2012,0.9194,0.9552,366,complete
2013,0.9469,0.9685,365,complete
2014,0.9877,0.9854,365,complete
2015,1.1361,1.0299,365,complete
2016,1.3177,1.1935,366,complete
2017,1.2230,1.2261,365,complete
2018,1.1439,1.1707,365,complete
2019,1.2798,1.2057,365,complete
2020,1.3102,1.2888,366,complete
2021,1.1551,1.2290,365,complete
2022,1.1815,1.2644,365,complete
2023,1.4823,1.4678,365,complete
2024,1.5987,1.5011,366,complete
2025,1.4711,1.4938,365,complete
2026,1.4657,1.4968,234,year_to_date
