# Recent years vs the historical range — daily absolute temperatures by day of year (ERA5)
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-08-29
# Rows are day-of-year; era columns are the 5th/95th percentile envelope per era (7-day smoothed); year columns are the highlighted recent years.
# Absolute global mean 2m temperature.
# Source: ECMWF ERA5 via Copernicus Climate Pulse.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
day_of_year,era_1940_1979_p05,era_1940_1979_p95,era_1980_1999_p05,era_1980_1999_p95,era_2000_2022_p05,era_2000_2022_p95,2023,2024,2025,2026
1,11.5019,12.0519,11.8113,12.4503,12.1124,13.0942,12.9660,13.3980,13.3100,13.0720
2,11.4852,12.0573,11.8058,12.4465,12.1232,13.0844,12.9510,13.2960,13.2480,13.0990
3,11.4784,12.0562,11.8069,12.4418,12.1359,13.0720,12.9050,13.1920,13.2370,13.1020
4,11.4671,12.0536,11.8086,12.4374,12.1417,13.0637,12.8280,13.1360,13.1830,13.0570
5,11.4493,12.0504,11.7991,12.4308,12.1380,13.0439,12.7690,13.1110,13.1410,13.0790
6,11.4321,12.0473,11.7919,12.4231,12.1467,13.0171,12.7260,13.0860,13.1370,13.1580
7,11.4211,12.0388,11.7883,12.3974,12.1686,12.9886,12.7270,13.0110,13.1850,13.1840
8,11.4273,12.0292,11.7966,12.3797,12.1755,12.9604,12.7180,13.0150,13.2140,13.0880
9,11.4327,12.0236,11.8061,12.3646,12.1666,12.9385,12.6940,13.0570,13.2190,12.9770
10,11.4412,12.0212,11.8160,12.3576,12.1446,12.9268,12.6780,13.0300,13.2300,12.9310
11,11.4559,12.0214,11.8233,12.3470,12.1222,12.9199,12.6630,12.9770,13.1980,12.9200
12,11.4674,12.0299,11.8277,12.3437,12.1106,12.9216,12.6540,12.9200,13.1360,12.9490
13,11.4794,12.0353,11.8220,12.3551,12.0903,12.9253,12.5680,12.9030,13.1290,13.0360
