date,member01,member02,member03,member04,member05,member06,member07,member08,member09,member10,member11,member12,member13,member14,member15,member16,member17,member18,member19,member20,member21,member22,member23,member24,member25,member26,member27,member28,member29,member30,member31,member32,member33,member34,member35,member36,member37,member38,member39,member40,member41,member42,member43,member44,member45,member46,member47,member48,member49,member50,init_date,n_gridpoints
2026-08-17,16.8095,16.8494,16.8908,16.9103,16.8813,16.8304,16.8271,16.8461,16.7122,16.7698,16.8281,16.8347,16.8772,16.8883,16.778,16.8687,16.8568,16.9067,16.7623,16.9194,16.8051,16.7979,16.8704,16.8567,16.8393,16.7549,16.7895,16.8744,16.7639,16.7978,16.782,16.7521,16.8254,16.8499,16.8948,16.7906,16.7894,16.8796,16.7585,16.8705,16.8218,16.799,16.8232,16.8116,16.7666,16.8535,16.8418,16.9221,16.8098,16.8018,2026-08-17,432
2026-08-18,16.7679,16.7916,16.8512,16.86,16.8575,16.7804,16.8255,16.8399,16.6418,16.7597,16.8287,16.7656,16.8444,16.8652,16.7511,16.8538,16.8536,16.9,16.7273,16.8434,16.7899,16.7713,16.9005,16.8064,16.812,16.7109,16.7661,16.8517,16.7522,16.7493,16.7608,16.7379,16.7938,16.827,16.8785,16.7473,16.7491,16.8103,16.7037,16.7753,16.7923,16.7479,16.7741,16.8095,16.7463,16.8446,16.8004,16.9472,16.7881,16.7839,2026-08-17,432
2026-08-19,16.777,16.7983,16.8959,16.8849,16.8612,16.8179,16.8133,16.8614,16.6345,16.7373,16.8295,16.8013,16.8366,16.9384,16.7867,16.8351,16.8222,16.9144,16.7007,16.8831,16.7962,16.7741,16.8892,16.7797,16.8114,16.6983,16.7771,16.8795,16.7998,16.7983,16.7334,16.7093,16.7524,16.7985,16.8809,16.7419,16.7423,16.8418,16.6779,16.8031,16.7949,16.7707,16.8139,16.8231,16.7859,16.8593,16.7538,16.9357,16.8087,16.7945,2026-08-17,432
2026-08-20,16.7294,16.7701,16.8969,16.8746,16.8254,16.8107,16.7865,16.8052,16.5837,16.7169,16.8123,16.7795,16.7749,16.8451,16.7145,16.8265,16.7487,16.9083,16.6909,16.8574,16.7389,16.692,16.831,16.7281,16.7271,16.67,16.7428,16.8132,16.7117,16.7376,16.6764,16.7233,16.7524,16.7255,16.8673,16.6779,16.7237,16.824,16.6657,16.7603,16.7576,16.7806,16.7646,16.8224,16.753,16.8307,16.6787,16.8925,16.7531,16.772,2026-08-17,432
2026-08-21,16.6968,16.6713,16.8743,16.823,16.795,16.7151,16.7194,16.7696,16.5263,16.6938,16.7157,16.725,16.728,16.8328,16.662,16.6894,16.5901,16.7477,16.6045,16.6966,16.6309,16.6822,16.8092,16.7487,16.6571,16.6908,16.6817,16.7865,16.6821,16.6699,16.6046,16.5623,16.6516,16.6794,16.8364,16.5961,16.6993,16.7021,16.5676,16.7554,16.7023,16.7301,16.6417,16.7468,16.686,16.6795,16.6016,16.8215,16.7182,16.6866,2026-08-17,432
2026-08-22,16.696,16.656,16.8962,16.7636,16.7659,16.7572,16.678,16.8166,16.4597,16.6301,16.678,16.7217,16.6903,16.8419,16.6843,16.6308,16.6647,16.721,16.6392,16.7294,16.597,16.6292,16.6977,16.6845,16.6916,16.7006,16.6739,16.8096,16.6774,16.672,16.6315,16.5639,16.7205,16.6857,16.8242,16.55,16.7817,16.665,16.5254,16.7166,16.7065,16.7345,16.6898,16.7244,16.6316,16.6076,16.6043,16.8631,16.6685,16.6909,2026-08-17,432
2026-08-23,16.6491,16.6268,16.8488,16.6776,16.7919,16.7645,16.6815,16.9036,16.3702,16.6563,16.7841,16.6763,16.6804,16.8042,16.6996,16.7218,16.693,16.7845,16.6693,16.7028,16.5029,16.5929,16.6082,16.6645,16.6976,16.701,16.783,16.8742,16.723,16.6973,16.6365,16.5105,16.7276,16.6465,16.7709,16.5337,16.7862,16.6849,16.5097,16.6721,16.686,16.7832,16.7764,16.7225,16.6554,16.6772,16.5827,16.7553,16.6657,16.5937,2026-08-17,432
2026-08-24,16.6153,16.6396,16.7712,16.7513,16.6948,16.779,16.7381,16.9329,16.3853,16.6997,16.7701,16.5528,16.6226,16.8985,16.6877,16.7851,16.7167,16.8295,16.5951,16.7172,16.5119,16.6268,16.6477,16.6328,16.6471,16.7262,16.8009,16.8357,16.7104,16.6924,16.66,16.5927,16.8011,16.6671,16.8941,16.5284,16.7836,16.7112,16.5238,16.7455,16.6563,16.8526,16.7339,16.6038,16.6649,16.7423,16.6203,16.7216,16.6265,16.5821,2026-08-17,432
2026-08-25,16.6485,16.7339,16.7284,16.7862,16.7124,16.8321,16.6377,16.8815,16.4354,16.8007,16.8315,16.6115,16.6386,16.9264,16.7408,16.8168,16.8194,16.9583,16.6264,16.7649,16.5304,16.6764,16.7207,16.6899,16.649,16.6842,16.7207,16.7755,16.6752,16.7353,16.6888,16.5672,16.9267,16.709,16.8779,16.5564,16.8193,16.8022,16.6026,16.7215,16.7291,16.7475,16.6979,16.6482,16.6955,16.774,16.7342,16.7098,16.5715,16.5601,2026-08-17,432
2026-08-26,16.6243,16.8441,16.6974,16.7663,16.7018,16.7394,16.6552,16.8081,16.4841,16.7951,16.7322,16.6776,16.6732,16.8915,16.7745,16.7996,16.8273,17.0095,16.6881,16.8659,16.564,16.777,16.6545,16.7472,16.6727,16.6591,16.6513,16.8043,16.7352,16.8034,16.6704,16.6242,17.0539,16.6267,16.8073,16.5298,16.7224,16.8274,16.6122,16.6691,16.7248,16.7356,16.6981,16.7909,16.7799,16.7838,16.6567,16.6425,16.5825,16.5429,2026-08-17,432
