date,soi,wind_wpac,wind_cpac,wind_epac
1951-01-01,1.50,,,
1951-02-01,0.90,,,
1951-03-01,-0.10,,,
1951-04-01,-0.30,,,
1951-05-01,-0.70,,,
1951-06-01,0.20,,,
1951-07-01,-1.00,,,
1951-08-01,-0.20,,,
1951-09-01,-1.10,,,
1951-10-01,-1.00,,,
1951-11-01,-0.80,,,
1951-12-01,-0.70,,,
1952-01-01,-0.90,,,
1952-02-01,-0.60,,,
1952-03-01,0.50,,,
1952-04-01,-0.20,,,
1952-05-01,0.80,,,
1952-06-01,0.70,,,
1952-07-01,0.50,,,
1952-08-01,0.10,,,
1952-09-01,-0.20,,,
1952-10-01,0.40,,,
1952-11-01,0.00,,,
1952-12-01,-1.20,,,
1953-01-01,0.30,,,
1953-02-01,-0.50,,,
1953-03-01,-0.20,,,
1953-04-01,0.20,,,
1953-05-01,-1.70,,,
1953-06-01,0.10,,,
1953-07-01,-0.00,,,
1953-08-01,-1.20,,,
1953-09-01,-1.20,,,
1953-10-01,0.10,,,
1953-11-01,-0.30,,,
1953-12-01,-0.50,,,
1954-01-01,0.70,,,
1954-02-01,-0.30,,,
1954-03-01,0.30,,,
1954-04-01,0.60,,,
1954-05-01,0.50,,,
1954-06-01,0.10,,,
1954-07-01,0.40,,,
1954-08-01,1.10,,,
1954-09-01,0.20,,,
1954-10-01,0.30,,,
1954-11-01,0.10,,,
1954-12-01,1.40,,,
1955-01-01,-0.50,,,
1955-02-01,1.90,,,
1955-03-01,0.60,,,
1955-04-01,-0.10,,,
1955-05-01,1.00,,,
1955-06-01,1.30,,,
1955-07-01,1.60,,,
1955-08-01,1.50,,,
1955-09-01,1.30,,,
1955-10-01,1.50,,,
1955-11-01,1.20,,,
1955-12-01,1.00,,,
1956-01-01,1.30,,,
1956-02-01,1.60,,,
1956-03-01,1.30,,,
1956-04-01,0.90,,,
1956-05-01,1.40,,,
1956-06-01,1.10,,,
1956-07-01,1.10,,,
1956-08-01,1.20,,,
1956-09-01,0.10,,,
1956-10-01,1.80,,,
1956-11-01,0.20,,,
1956-12-01,1.10,,,
1957-01-01,0.60,,,
1957-02-01,-0.10,,,
1957-03-01,0.20,,,
1957-04-01,0.20,,,
1957-05-01,-0.70,,,
1957-06-01,0.20,,,
1957-07-01,0.20,,,
1957-08-01,-0.50,,,
1957-09-01,-0.90,,,
1957-10-01,0.00,,,
1957-11-01,-1.00,,,
1957-12-01,-0.30,,,
1958-01-01,-1.90,,,
1958-02-01,-0.50,,,
1958-03-01,0.30,,,
1958-04-01,0.40,,,
1958-05-01,-0.50,,,
1958-06-01,0.30,,,
1958-07-01,0.40,,,
1958-08-01,0.90,,,
1958-09-01,-0.30,,,
1958-10-01,0.10,,,
1958-11-01,-0.40,,,
1958-12-01,-0.60,,,
1959-01-01,-0.90,,,
1959-02-01,-1.40,,,
1959-03-01,1.30,,,
1959-04-01,0.40,,,
1959-05-01,0.50,,,
1959-06-01,-0.10,,,
1959-07-01,-0.30,,,
1959-08-01,-0.10,,,
1959-09-01,0.00,,,
1959-10-01,0.50,,,
1959-11-01,0.90,,,
1959-12-01,0.90,,,
1960-01-01,0.10,,,
1960-02-01,0.10,,,
1960-03-01,1.00,,,
1960-04-01,0.80,,,
1960-05-01,0.50,,,
1960-06-01,0.10,,,
1960-07-01,0.50,,,
1960-08-01,0.80,,,
1960-09-01,0.70,,,
1960-10-01,0.10,,,
1960-11-01,0.50,,,
1960-12-01,0.80,,,
1961-01-01,-0.30,,,
1961-02-01,0.90,,,
1961-03-01,-1.80,,,
1961-04-01,0.80,,,
1961-05-01,0.30,,,
1961-06-01,0.10,,,
1961-07-01,0.20,,,
1961-08-01,0.20,,,
1961-09-01,0.10,,,
1961-10-01,-0.30,,,
1961-11-01,0.50,,,
1961-12-01,1.50,,,
1962-01-01,2.00,,,
1962-02-01,-0.30,,,
1962-03-01,0.10,,,
1962-04-01,0.20,,,
1962-05-01,1.10,,,
1962-06-01,0.70,,,
1962-07-01,0.10,,,
1962-08-01,0.60,,,
1962-09-01,0.40,,,
1962-10-01,1.00,,,
1962-11-01,0.30,,,
1962-12-01,0.20,,,
1963-01-01,1.00,,,
1963-02-01,0.60,,,
1963-03-01,1.10,,,
1963-04-01,0.80,,,
1963-05-01,0.40,,,
1963-06-01,-0.50,,,
1963-07-01,-0.10,,,
1963-08-01,0.00,,,
1963-09-01,-0.60,,,
1963-10-01,-1.20,,,
1963-11-01,-0.80,,,
1963-12-01,-1.20,,,
1964-01-01,-0.40,,,
1964-02-01,0.00,,,
1964-03-01,1.10,,,
1964-04-01,1.10,,,
1964-05-01,0.20,,,
1964-06-01,0.80,,,
1964-07-01,0.60,,,
1964-08-01,1.50,,,
1964-09-01,1.30,,,
1964-10-01,1.30,,,
1964-11-01,0.20,,,
1964-12-01,-0.30,,,
1965-01-01,-0.40,,,
1965-02-01,0.40,,,
1965-03-01,0.80,,,
1965-04-01,-0.50,,,
1965-05-01,0.20,,,
1965-06-01,-0.60,,,
1965-07-01,-1.80,,,
1965-08-01,-0.70,,,
1965-09-01,-1.30,,,
1965-10-01,-0.90,,,
1965-11-01,-1.50,,,
1965-12-01,0.20,,,
1966-01-01,-1.30,,,
1966-02-01,-0.20,,,
1966-03-01,-0.90,,,
1966-04-01,-0.20,,,
1966-05-01,-0.40,,,
1966-06-01,0.30,,,
1966-07-01,0.10,,,
1966-08-01,0.60,,,
1966-09-01,-0.20,,,
1966-10-01,-0.10,,,
1966-11-01,-0.00,,,
1966-12-01,-0.30,,,
1967-01-01,1.70,,,
1967-02-01,1.70,,,
1967-03-01,1.20,,,
1967-04-01,-0.00,,,
1967-05-01,-0.00,,,
1967-06-01,0.60,,,
1967-07-01,0.20,,,
1967-08-01,0.70,,,
1967-09-01,0.50,,,
1967-10-01,0.10,,,
1967-11-01,-0.40,,,
1967-12-01,-0.60,,,
1968-01-01,0.50,,,
1968-02-01,1.30,,,
1968-03-01,0.10,,,
1968-04-01,0.00,,,
1968-05-01,1.20,,,
1968-06-01,1.10,,,
1968-07-01,0.70,,,
1968-08-01,0.30,,,
1968-09-01,-0.30,,,
1968-10-01,-0.10,,,
1968-11-01,-0.30,,,
1968-12-01,0.20,,,
1969-01-01,-1.50,,,
1969-02-01,-0.50,,,
1969-03-01,0.40,,,
1969-04-01,-0.40,,,
1969-05-01,-0.20,,,
1969-06-01,0.20,,,
