date,wwv_anom_1e14_m3
1980-01-01,0.812
1980-02-01,0.947
1980-03-01,1.229
1980-04-01,0.916
1980-05-01,1.547
1980-06-01,1.850
1980-07-01,0.914
1980-08-01,0.784
1980-09-01,0.845
1980-10-01,1.328
1980-11-01,1.684
1980-12-01,1.699
1981-01-01,1.371
1981-02-01,1.211
1981-03-01,2.053
1981-04-01,1.691
1981-05-01,1.172
1981-06-01,0.774
1981-07-01,0.581
1981-08-01,0.703
1981-09-01,1.606
1981-10-01,1.394
1981-11-01,0.905
1981-12-01,0.935
1982-01-01,1.153
1982-02-01,1.966
1982-03-01,2.153
1982-04-01,1.762
1982-05-01,1.505
1982-06-01,1.723
1982-07-01,1.756
1982-08-01,2.336
1982-09-01,2.596
1982-10-01,2.879
1982-11-01,2.480
1982-12-01,1.403
1983-01-01,-0.370
1983-02-01,-1.252
1983-03-01,-1.742
1983-04-01,-0.166
1983-05-01,-0.887
1983-06-01,-2.015
1983-07-01,-2.911
1983-08-01,-3.549
1983-09-01,-4.533
1983-10-01,-4.737
1983-11-01,-4.117
1983-12-01,-2.969
1984-01-01,-2.425
1984-02-01,-2.475
1984-03-01,-2.257
1984-04-01,-1.921
1984-05-01,-2.219
1984-06-01,-2.101
1984-07-01,-1.171
1984-08-01,-0.853
1984-09-01,-1.131
1984-10-01,-1.752
1984-11-01,-0.925
1984-12-01,-0.251
1985-01-01,0.253
1985-02-01,-0.194
1985-03-01,-0.311
1985-04-01,0.432
1985-05-01,0.858
1985-06-01,0.709
1985-07-01,0.628
1985-08-01,0.914
1985-09-01,0.515
1985-10-01,0.310
1985-11-01,0.712
1985-12-01,0.869
1986-01-01,0.878
1986-02-01,1.477
1986-03-01,1.248
1986-04-01,0.726
1986-05-01,1.341
1986-06-01,1.384
1986-07-01,1.309
1986-08-01,0.970
1986-09-01,1.077
1986-10-01,1.455
1986-11-01,1.201
1986-12-01,1.563
1987-01-01,0.951
1987-02-01,0.084
1987-03-01,-0.228
1987-04-01,-0.626
1987-05-01,-0.466
1987-06-01,-1.021
1987-07-01,-1.629
1987-08-01,-1.030
1987-09-01,-1.611
1987-10-01,-1.491
1987-11-01,-1.978
1987-12-01,-2.023
1988-01-01,-1.984
1988-02-01,-2.794
1988-03-01,-2.821
1988-04-01,-3.024
1988-05-01,-2.774
1988-06-01,-2.403
1988-07-01,-1.753
1988-08-01,-1.177
1988-09-01,-1.153
1988-10-01,-1.693
1988-11-01,-0.958
1988-12-01,-0.564
1989-01-01,0.229
1989-02-01,1.298
1989-03-01,1.641
1989-04-01,1.484
1989-05-01,1.815
1989-06-01,1.923
1989-07-01,1.818
1989-08-01,1.603
1989-09-01,1.537
1989-10-01,0.713
1989-11-01,0.556
1989-12-01,1.467
1990-01-01,1.957
1990-02-01,2.483
1990-03-01,2.023
1990-04-01,1.076
1990-05-01,0.557
1990-06-01,0.225
1990-07-01,0.696
1990-08-01,0.805
1990-09-01,0.763
1990-10-01,0.820
1990-11-01,0.753
1990-12-01,0.933
1991-01-01,1.066
1991-02-01,0.715
1991-03-01,0.216
1991-04-01,0.415
1991-05-01,0.771
1991-06-01,1.048
1991-07-01,1.223
1991-08-01,0.845
1991-09-01,0.889
1991-10-01,1.700
1991-11-01,1.272
1991-12-01,1.432
1992-01-01,0.957
1992-02-01,1.229
1992-03-01,0.174
1992-04-01,-0.542
1992-05-01,-1.483
1992-06-01,-2.086
1992-07-01,-1.740
1992-08-01,-1.472
1992-09-01,-1.348
1992-10-01,-0.928
1992-11-01,-0.754
1992-12-01,-0.445
1993-01-01,-0.540
1993-02-01,-0.420
1993-03-01,-0.393
1993-04-01,-0.504
1993-05-01,-0.685
1993-06-01,-1.568
1993-07-01,-2.026
1993-08-01,-1.580
1993-09-01,-1.014
1993-10-01,-0.785
1993-11-01,-1.191
1993-12-01,-1.628
1994-01-01,-1.635
1994-02-01,-1.444
1994-03-01,-1.268
1994-04-01,-1.100
1994-05-01,-0.618
1994-06-01,-0.817
1994-07-01,-0.528
1994-08-01,-0.168
1994-09-01,-0.269
1994-10-01,0.187
1994-11-01,0.662
1994-12-01,-0.215
1995-01-01,-0.994
1995-02-01,-1.463
1995-03-01,-1.872
1995-04-01,-1.720
1995-05-01,-1.263
1995-06-01,-0.728
1995-07-01,-0.230
1995-08-01,-0.509
1995-09-01,-0.987
1995-10-01,-0.649
1995-11-01,-0.325
1995-12-01,0.048
1996-01-01,0.330
1996-02-01,0.332
1996-03-01,0.624
1996-04-01,0.412
1996-05-01,0.280
1996-06-01,0.746
1996-07-01,0.261
1996-08-01,0.465
1996-09-01,0.267
1996-10-01,0.452
1996-11-01,0.491
1996-12-01,0.852
1997-01-01,1.635
1997-02-01,2.144
1997-03-01,2.208
1997-04-01,3.117
1997-05-01,2.887
1997-06-01,3.075
1997-07-01,2.197
1997-08-01,1.514
1997-09-01,1.800
1997-10-01,1.582
1997-11-01,0.663
1997-12-01,-0.766
1998-01-01,-2.050
1998-02-01,-2.730
1998-03-01,-3.144
1998-04-01,-3.582
1998-05-01,-4.074
1998-06-01,-4.522
1998-07-01,-4.638
1998-08-01,-4.126
1998-09-01,-3.767
1998-10-01,-3.860
1998-11-01,-3.394
1998-12-01,-2.663
1999-01-01,-2.155
1999-02-01,-1.432
1999-03-01,-1.283
1999-04-01,-1.022
1999-05-01,-0.725
1999-06-01,-0.478
1999-07-01,-0.761
1999-08-01,-1.009
1999-09-01,-0.745
1999-10-01,-0.893
1999-11-01,-0.907
1999-12-01,-0.728
2000-01-01,-0.338
2000-02-01,0.199
2000-03-01,0.773
2000-04-01,1.025
2000-05-01,1.329
2000-06-01,1.054
2000-07-01,0.805
2000-08-01,0.231
2000-09-01,0.330
2000-10-01,0.183
2000-11-01,0.273
2000-12-01,-0.020
2001-01-01,0.398
2001-02-01,0.341
2001-03-01,0.637
2001-04-01,0.645
2001-05-01,0.169
2001-06-01,0.358
2001-07-01,0.692
2001-08-01,0.242
2001-09-01,0.549
2001-10-01,0.392
2001-11-01,0.519
2001-12-01,0.751
2002-01-01,1.064
2002-02-01,0.951
2002-03-01,0.686
2002-04-01,0.231
2002-05-01,-0.041
2002-06-01,0.453
2002-07-01,0.813
2002-08-01,1.249
2002-09-01,1.780
2002-10-01,1.807
2002-11-01,1.103
2002-12-01,0.054
2003-01-01,-0.891
2003-02-01,-1.233
2003-03-01,-1.181
2003-04-01,-1.149
2003-05-01,-0.983
2003-06-01,0.445
2003-07-01,1.109
2003-08-01,0.656
2003-09-01,0.684
2003-10-01,0.772
2003-11-01,0.859
2003-12-01,0.557
2004-01-01,0.186
2004-02-01,-0.106
2004-03-01,-0.459
2004-04-01,-0.127
2004-05-01,0.065
2004-06-01,0.412
2004-07-01,1.059
2004-08-01,1.088
2004-09-01,1.493
2004-10-01,1.414
2004-11-01,1.258
2004-12-01,1.016
2005-01-01,0.712
2005-02-01,0.604
2005-03-01,1.131
2005-04-01,0.537
2005-05-01,0.496
2005-06-01,0.478
2005-07-01,0.309
2005-08-01,0.218
2005-09-01,-0.013
2005-10-01,-0.000
2005-11-01,-0.252
2005-12-01,-0.129
2006-01-01,0.122
2006-02-01,0.264
2006-03-01,0.610
2006-04-01,0.914
2006-05-01,1.141
2006-06-01,1.276
2006-07-01,1.117
2006-08-01,1.448
2006-09-01,1.328
2006-10-01,1.045
2006-11-01,1.031
2006-12-01,0.381
2007-01-01,-0.868
2007-02-01,-1.267
2007-03-01,-1.485
2007-04-01,-1.201
2007-05-01,-0.802
2007-06-01,-0.471
2007-07-01,-0.460
2007-08-01,-0.402
2007-09-01,-0.621
2007-10-01,-0.640
2007-11-01,-0.444
2007-12-01,-0.038
2008-01-01,0.462
2008-02-01,0.890
2008-03-01,1.934
2008-04-01,2.298
2008-05-01,2.729
2008-06-01,2.262
2008-07-01,1.485
2008-08-01,0.666
2008-09-01,0.135
2008-10-01,0.107
2008-11-01,-0.310
2008-12-01,-0.645
2009-01-01,0.035
2009-02-01,0.284
2009-03-01,0.277
2009-04-01,0.589
2009-05-01,1.020
2009-06-01,1.171
2009-07-01,1.003
2009-08-01,0.839
2009-09-01,0.837
2009-10-01,1.061
2009-11-01,1.420
2009-12-01,1.123
2010-01-01,0.489
2010-02-01,0.338
2010-03-01,0.056
2010-04-01,-0.670
2010-05-01,-1.118
2010-06-01,-1.305
2010-07-01,-1.014
2010-08-01,-0.916
2010-09-01,-0.994
2010-10-01,-0.843
2010-11-01,-0.604
2010-12-01,-0.301
2011-01-01,0.436
2011-02-01,1.569
2011-03-01,2.055
2011-04-01,2.215
2011-05-01,2.045
2011-06-01,1.517
2011-07-01,0.994
2011-08-01,0.486
2011-09-01,-0.083
2011-10-01,-0.274
2011-11-01,0.033
2011-12-01,-0.081
2012-01-01,0.137
2012-02-01,0.715
2012-03-01,0.904
2012-04-01,1.210
2012-05-01,1.348
2012-06-01,1.435
2012-07-01,1.273
2012-08-01,1.180
2012-09-01,0.718
2012-10-01,0.612
2012-11-01,0.487
2012-12-01,0.062
2013-01-01,0.190
2013-02-01,0.394
2013-03-01,0.348
2013-04-01,0.222
2013-05-01,0.369
2013-06-01,0.806
2013-07-01,0.835
2013-08-01,0.904
2013-09-01,1.146
2013-10-01,1.049
2013-11-01,1.247
2013-12-01,1.251
2014-01-01,0.783
2014-02-01,1.123
2014-03-01,2.050
2014-04-01,1.835
2014-05-01,1.324
2014-06-01,0.657
2014-07-01,0.585
2014-08-01,1.491
2014-09-01,1.571
2014-10-01,1.237
2014-11-01,1.305
2014-12-01,0.853
2015-01-01,0.311
2015-02-01,0.631
2015-03-01,0.955
2015-04-01,1.116
2015-05-01,1.246
2015-06-01,1.123
2015-07-01,1.021
2015-08-01,1.117
2015-09-01,1.126
2015-10-01,1.070
