date,nino34,nino34_anom,roni_anom
2025-01-01,25.8667,-0.592,-1.2184
2025-01-02,25.8904,-0.4841,-1.1286
2025-01-03,25.8776,-0.56,-1.2139
2025-01-04,25.8282,-0.5579,-1.2182
2025-01-05,25.7944,-0.6429,-1.3019
2025-01-06,25.7828,-0.5959,-1.244
2025-01-07,25.7905,-0.6761,-1.3109
2025-01-08,25.7956,-0.5976,-1.2224
2025-01-09,25.7742,-0.6805,-1.2988
2025-01-10,25.7644,-0.6372,-1.2271
2025-01-11,25.7957,-0.6876,-1.2557
2025-01-12,25.8598,-0.5645,-1.1216
2025-01-13,25.9253,-0.5671,-1.1378
2025-01-14,25.935,-0.4947,-1.0757
2025-01-15,25.894,-0.6096,-1.197
2025-01-16,25.8257,-0.6182,-1.219
2025-01-17,25.7721,-0.7464,-1.3535
2025-01-18,25.7385,-0.7138,-1.3323
2025-01-19,25.6931,-0.8327,-1.4543
2025-01-20,25.6488,-0.8224,-1.4521
2025-01-21,25.615,-0.9343,-1.5623
2025-01-22,25.5901,-0.8916,-1.5179
2025-01-23,25.5624,-0.988,-1.6168
2025-01-24,25.5383,-0.9503,-1.5903
2025-01-25,25.5468,-1.0051,-1.6387
2025-01-26,25.5846,-0.898,-1.5181
2025-01-27,25.6145,-0.9384,-1.5525
2025-01-28,25.649,-0.8275,-1.4424
2025-01-29,25.678,-0.8626,-1.4773
2025-01-30,25.6928,-0.7695,-1.3843
2025-01-31,25.7219,-0.8048,-1.4201
2025-02-01,25.7691,-0.6974,-1.3483
2025-02-02,25.8239,-0.7247,-1.3724
2025-02-03,25.8841,-0.5936,-1.237
2025-02-04,25.942,-0.5965,-1.219
2025-02-05,26.0015,-0.4834,-1.1033
2025-02-06,26.0598,-0.4917,-1.1146
2025-02-07,26.1042,-0.4157,-1.0399
2025-02-08,26.1257,-0.4573,-1.0813
2025-02-09,26.15,-0.3777,-1.0057
2025-02-10,26.1862,-0.408,-1.0351
2025-02-11,26.2333,-0.3189,-0.9549
2025-02-12,26.2898,-0.3301,-0.9884
2025-02-13,26.3396,-0.2398,-0.9105
2025-02-14,26.3725,-0.288,-0.9694
2025-02-15,26.3893,-0.23,-0.9284
2025-02-16,26.4182,-0.2661,-0.972
2025-02-17,26.4571,-0.1743,-0.8777
2025-02-18,26.4944,-0.2173,-0.8993
2025-02-19,26.507,-0.1623,-0.8189
2025-02-20,26.5206,-0.2134,-0.8549
2025-02-21,26.5683,-0.1246,-0.7497
2025-02-22,26.6103,-0.1371,-0.7441
2025-02-23,26.6144,-0.1114,-0.6912
2025-02-24,26.6013,-0.1801,-0.7418
2025-02-25,26.6194,-0.1424,-0.6996
2025-02-26,26.6494,-0.1636,-0.7023
2025-02-27,26.7335,-0.0522,-0.5857
2025-02-28,26.8547,0.0128,-0.5145
2025-03-01,26.9298,0.0995,-0.4541
2025-03-02,26.953,0.0725,-0.4722
2025-03-03,26.9979,0.1318,-0.4095
2025-03-04,27.0231,0.0978,-0.4421
2025-03-05,27.0539,0.1591,-0.3859
2025-03-06,27.1128,0.1474,-0.3774
2025-03-07,27.1587,0.2092,-0.3067
2025-03-08,27.2099,0.2037,-0.2952
2025-03-09,27.2931,0.2985,-0.1775
2025-03-10,27.3785,0.3258,-0.1332
2025-03-11,27.4799,0.4356,-0.0155
2025-03-12,27.541,0.4359,-0.0093
2025-03-13,27.5269,0.4271,-0.0326
2025-03-14,27.428,0.2758,-0.2114
2025-03-15,27.3455,0.1855,-0.3587
2025-03-16,27.2765,0.0754,-0.4893
2025-03-17,27.232,0.034,-0.53
2025-03-18,27.2427,-0.0053,-0.5302
2025-03-19,27.2756,0.0293,-0.4809
2025-03-20,27.3355,0.0355,-0.4472
2025-03-21,27.4406,0.1408,-0.3111
2025-03-22,27.5252,0.1788,-0.2312
2025-03-23,27.5829,0.2345,-0.1736
2025-03-24,27.6374,0.246,-0.1462
2025-03-25,27.678,0.3,-0.0985
2025-03-26,27.6583,0.2255,-0.1809
2025-03-27,27.6432,0.2245,-0.2015
2025-03-28,27.6063,0.1379,-0.296
2025-03-29,27.548,0.079,-0.3902
2025-03-30,27.507,-0.0019,-0.4844
2025-03-31,27.4771,-0.0351,-0.5332
2025-04-01,27.4813,-0.0791,-0.5947
2025-04-02,27.4562,-0.113,-0.6525
2025-04-03,27.4247,-0.195,-0.7385
2025-04-04,27.4167,-0.203,-0.7553
2025-04-05,27.4411,-0.2084,-0.7586
2025-04-06,27.4753,-0.1764,-0.7491
2025-04-07,27.5362,-0.1618,-0.7344
2025-04-08,27.579,-0.1189,-0.6927
2025-04-09,27.6141,-0.1234,-0.6874
