date,nino34,tropics,nino12,nino3,nino4
1981-09-01,26.6166,26.3461,20.6237,24.7996,28.3589
1981-09-02,26.6055,26.3294,20.6526,24.7649,28.3614
1981-09-03,26.569,26.3343,20.6925,24.7046,28.3931
1981-09-04,26.3929,26.3398,20.4321,24.6114,28.2939
1981-09-05,26.3322,26.3719,20.2053,24.5719,28.1853
1981-09-06,26.3571,26.3854,20.2062,24.5972,28.1595
1981-09-07,26.3041,26.3811,20.0823,24.6007,28.1606
1981-09-08,26.2707,26.3833,19.9257,24.5764,28.1504
1981-09-09,26.3714,26.3862,19.9673,24.5365,28.3243
1981-09-10,26.4643,26.4063,20.097,24.5116,28.5315
1981-09-11,26.5814,26.4538,20.1254,24.5995,28.845
1981-09-12,26.6355,26.4582,20.017,24.644,28.802
1981-09-13,26.6641,26.4464,19.9602,24.6859,28.6732
1981-09-14,26.6528,26.4051,19.8541,24.6886,28.45
1981-09-15,26.5844,26.3846,19.6759,24.6115,28.4368
1981-09-16,26.4251,26.3649,19.5595,24.5466,28.328
1981-09-17,26.3247,26.3462,19.4548,24.4699,28.2667
1981-09-18,26.2451,26.3385,19.3771,24.3163,28.194
1981-09-19,26.2253,26.3442,19.7371,24.2378,28.1959
1981-09-20,26.1621,26.3339,20.0706,24.2011,28.1771
1981-09-21,26.086,26.3381,20.2385,24.1959,28.3018
1981-09-22,26.1283,26.3586,20.2358,24.2267,28.3213
1981-09-23,26.1562,26.3724,20.2212,24.2288,28.3196
1981-09-24,26.1647,26.3767,20.2512,24.1896,28.2462
1981-09-25,26.1114,26.3835,20.2256,24.2044,28.1076
1981-09-26,26.0438,26.3852,20.2051,24.3074,27.8769
1981-09-27,26.0387,26.4036,20.1148,24.4148,27.8345
1981-09-28,26.0999,26.4445,19.9721,24.4627,27.8456
1981-09-29,26.1577,26.4696,19.9171,24.4987,27.9627
1981-09-30,26.2316,26.509,19.8127,24.5537,28.0513
1981-10-01,26.3064,26.5661,19.8111,24.6421,28.114
1981-10-02,26.3744,26.5892,19.8723,24.7488,28.1268
1981-10-03,26.3561,26.5799,19.8789,24.7857,28.1029
1981-10-04,26.3423,26.5767,19.9199,24.7731,28.0915
