date,member01,member02,member03,member04,member05,member06,member07,member08,member09,member10,member11,member12,member13,member14,member15,member16,member17,member18,member19,member20,member21,member22,member23,member24,member25,member26,member27,member28,member29,member30,member31,member32,member33,member34,member35,member36,member37,member38,member39,member40,member41,member42,member43,member44,member45,member46,member47,member48,member49,member50,init_date,n_gridpoints
2026-08-11,16.8996,16.8699,16.9424,16.8676,16.8587,16.9389,16.8248,16.8867,16.8943,16.8821,16.8886,16.8157,16.9551,16.8716,16.8747,16.862,16.9552,16.8624,16.9527,17.003,16.7896,16.8438,16.8858,16.9017,16.9135,16.8911,16.9693,16.8491,16.8983,16.8572,16.896,16.8407,16.958,16.8692,16.8866,16.8677,16.8769,16.9908,16.8684,16.9064,16.9242,16.8696,16.9319,16.8892,16.8076,16.844,16.8808,16.8982,16.8656,16.809,2026-08-11,432
2026-08-12,16.8665,16.8595,16.9014,16.814,16.8614,16.8766,16.7485,16.8284,16.8516,16.9089,16.8237,16.779,16.9774,16.8293,16.8533,16.8456,16.9253,16.8392,16.883,16.963,16.7741,16.8301,16.8201,16.8423,16.87,16.8348,16.8912,16.7822,16.8594,16.8733,16.8337,16.797,16.9588,16.8404,16.8345,16.814,16.857,16.932,16.8287,16.9058,16.9316,16.8144,16.9006,16.8769,16.7718,16.7952,16.8282,16.8807,16.8851,16.8258,2026-08-11,432
2026-08-13,16.896,16.9025,16.9313,16.7942,16.9161,16.8698,16.8062,16.8598,16.9037,16.9017,16.8748,16.7448,16.9699,16.8703,16.8203,16.8361,16.9851,16.8295,16.877,17.0065,16.8128,16.8898,16.8658,16.835,16.8718,16.8844,16.9097,16.7976,16.8613,16.8974,16.8846,16.808,16.908,16.8347,16.8625,16.8059,16.9017,16.9292,16.8162,16.9301,16.9692,16.8375,16.9161,16.8842,16.8048,16.7818,16.8194,16.8718,16.8714,16.8519,2026-08-11,432
2026-08-14,16.7882,16.9312,16.9412,16.7761,16.8666,16.8376,16.7674,16.8067,16.8449,16.8799,16.8281,16.7748,16.8957,16.8064,16.8335,16.7832,16.9324,16.7886,16.8819,16.9495,16.7433,16.8651,16.8058,16.8639,16.786,16.8505,16.8311,16.7627,16.8178,16.8739,16.8474,16.7891,16.839,16.8081,16.8487,16.8301,16.8615,16.8832,16.7704,16.8871,16.8783,16.8162,16.8354,16.8575,16.8221,16.7834,16.7852,16.8552,16.8319,16.8326,2026-08-11,432
2026-08-15,16.6943,16.8867,16.8753,16.7054,16.7513,16.7985,16.7079,16.6855,16.754,16.7753,16.7963,16.7026,16.8035,16.7514,16.7667,16.6843,16.8175,16.6434,16.7225,16.8804,16.6604,16.7669,16.7722,16.7565,16.6588,16.8179,16.6954,16.6558,16.6638,16.8675,16.8086,16.7224,16.7595,16.7205,16.7435,16.7777,16.7353,16.7804,16.6932,16.7953,16.7878,16.7326,16.7763,16.7776,16.7956,16.6757,16.7111,16.7563,16.772,16.7604,2026-08-11,432
2026-08-16,16.6716,16.8172,16.8258,16.7929,16.7696,16.7552,16.7306,16.6861,16.7377,16.7657,16.8367,16.7428,16.7765,16.7152,16.747,16.6257,16.808,16.6602,16.7377,16.8746,16.6671,16.7699,16.7735,16.7686,16.6624,16.8081,16.643,16.648,16.6486,16.8311,16.76,16.73,16.783,16.7077,16.7595,16.7731,16.6899,16.7817,16.7392,16.7338,16.8374,16.7961,16.799,16.7787,16.6892,16.6859,16.6993,16.7437,16.7707,16.701,2026-08-11,432
2026-08-17,16.6832,16.7485,16.8141,16.7497,16.6878,16.7602,16.6579,16.661,16.6656,16.7831,16.7729,16.6567,16.7292,16.6893,16.7037,16.5294,16.7409,16.6264,16.8141,16.8231,16.5603,16.6707,16.7162,16.738,16.5713,16.7633,16.656,16.6752,16.5572,16.6938,16.6866,16.6374,16.7227,16.6174,16.7426,16.6867,16.5854,16.7157,16.6308,16.6826,16.6699,16.6779,16.7978,16.6858,16.6761,16.6471,16.6495,16.6845,16.7904,16.6384,2026-08-11,432
2026-08-18,16.703,16.7389,16.8349,16.7064,16.7559,16.6845,16.6592,16.6485,16.7123,16.7911,16.737,16.6016,16.7103,16.6465,16.6565,16.4766,16.7547,16.5419,16.7614,16.7298,16.5611,16.6021,16.6617,16.6849,16.6192,16.7224,16.7112,16.5868,16.5228,16.6066,16.5827,16.6676,16.6643,16.6187,16.7755,16.6919,16.5897,16.77,16.5818,16.69,16.6678,16.6976,16.777,16.6877,16.6877,16.5244,16.571,16.7354,16.7064,16.6627,2026-08-11,432
2026-08-19,16.7359,16.7262,16.8235,16.7475,16.7055,16.7433,16.5909,16.5932,16.7463,16.6821,16.7178,16.5487,16.7424,16.6245,16.5436,16.4726,16.7225,16.4846,16.6908,16.6733,16.5456,16.5308,16.5803,16.6323,16.5606,16.6537,16.7499,16.4986,16.6079,16.6683,16.4689,16.6114,16.6787,16.5577,16.7891,16.6124,16.5051,16.6959,16.5542,16.7147,16.649,16.722,16.8057,16.6699,16.649,16.479,16.5968,16.7267,16.587,16.6122,2026-08-11,432
2026-08-20,16.6277,16.6573,16.7829,16.7886,16.663,16.7502,16.5805,16.5697,16.6487,16.7211,16.7383,16.4968,16.8633,16.5929,16.5674,16.5052,16.583,16.5114,16.6577,16.6113,16.4606,16.5732,16.6967,16.7002,16.5235,16.5859,16.6906,16.5209,16.681,16.7812,16.5107,16.5708,16.7778,16.4784,16.8348,16.5571,16.4291,16.6735,16.5269,16.6795,16.5835,16.7135,16.8312,16.7464,16.6644,16.5413,16.6417,16.6855,16.5909,16.5133,2026-08-11,432
