lead_day,mean,std,count,raw_mean
0,0.0009,0.0628,119,0.0484
1,-0.0007,0.0615,118,0.0213
2,0.0003,0.0610,117,0.0115
3,-0.0010,0.0613,116,0.0054
4,-0.0017,0.0605,115,0.0022
5,0.0001,0.0594,114,0.0028
6,-0.0017,0.0632,113,0.0003
7,-0.0021,0.0675,112,-0.0004
8,-0.0056,0.0701,111,-0.0041
9,-0.0098,0.0744,110,-0.0084
10,-0.0116,0.0824,109,-0.0103
11,-0.0126,0.0876,108,-0.0113
12,-0.0110,0.0916,107,-0.0097
13,-0.0105,0.0928,106,-0.0092
14,-0.0113,0.0912,105,-0.0100
15,-0.0103,0.0896,104,-0.0089
16,-0.0091,0.0912,103,-0.0077
17,-0.0046,0.0914,102,-0.0032
18,-0.0025,0.0881,101,-0.0011
19,-0.0016,0.0853,100,-0.0002
20,0.0009,0.0861,99,0.0023
21,0.0027,0.0877,98,0.0041
22,0.0067,0.0889,97,0.0081
23,0.0079,0.0912,96,0.0093
24,0.0088,0.0938,95,0.0102
25,0.0114,0.0967,94,0.0128
26,0.0120,0.0988,93,0.0134
27,0.0111,0.0996,92,0.0124
28,0.0081,0.0994,91,0.0094
29,0.0064,0.1001,90,0.0077
30,0.0068,0.1033,89,0.0081
31,0.0075,0.1055,88,0.0088
32,0.0032,0.1052,87,0.0044
33,0.0009,0.1032,86,0.0021
34,-0.0030,0.0992,85,-0.0018
35,-0.0048,0.0976,84,-0.0036
36,-0.0047,0.1017,83,-0.0035
37,-0.0061,0.1001,82,-0.0050
38,-0.0094,0.0949,81,-0.0083
39,-0.0107,0.0929,80,-0.0096
40,-0.0110,0.0925,79,-0.0100
41,-0.0110,0.0965,78,-0.0099
42,-0.0121,0.0968,77,-0.0110
43,-0.0130,0.0963,76,-0.0120
44,-0.0146,0.0979,74,-0.0135
